datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,2.176976419651001,-1.976334607788391,-0.4635983995150979,0.006458869996727684,0.007014609820398378,-0.0009679562505890902
A.D. 2025-Jan-06 00:00:00.0000,2.208964008681865,-1.940986196297491,-0.4683729507751809,0.006335888618560759,0.007124404950745324,-0.0009418242541567015
A.D. 2025-Jan-11 00:00:00.0000,2.240332561088016,-1.905094072531931,-0.4730162472162247,0.006211260391126616,0.007232091541962114,-0.0009154553530711474
A.D. 2025-Jan-16 00:00:00.0000,2.271073918280353,-1.868668826733559,-0.4775271197569413,0.006085015575463717,0.007337650630167065,-0.0008888557222635551
A.D. 2025-Jan-21 00:00:00.0000,2.301180072938986,-1.831721143169708,-0.4819044301639053,0.00595718441692997,0.007441063564236673,-0.0008620315261852322
A.D. 2025-Jan-26 00:00:00.0000,2.330643168922038,-1.794261798637352,-0.4861470710029693,0.005827797141168694,0.007542311979366607,-0.0008349889203723817
A.D. 2025-Jan-31 00:00:00.0000,2.359455501166395,-1.756301661091297,-0.4902539655989677,0.005696883954255211,0.007641377773275965,-0.0008077340531898552
A.D. 2025-Feb-05 00:00:00.0000,2.387609515594899,-1.717851688393238,-0.4942240680048532,0.005564475045148228,0.007738243080889692,-0.0007802730679230908
A.D. 2025-Feb-10 00:00:00.0000,2.415097809045682,-1.678922927201614,-0.498056362983386,0.005430600593006114,0.007832890242422355,-0.0007526121058662188
A.D. 2025-Feb-15 00:00:00.0000,2.441913129269992,-1.639526512048132,-0.5017498660094347,0.00529529079017958,0.007925301760154957,-0.0007247573117829565
A.D. 2025-Feb-20 00:00:00.0000,2.468048375137529,-1.599673664650951,-0.5053036233097675,0.005158575908676207,0.008015460250549332,-0.0006967148437447499
A.D. 2025-Feb-25 00:00:00.0000,2.493496597368992,-1.559375693375577,-0.5087167119624607,0.005020486449067992,0.008103348451058109,-0.0006684908860841995
A.D. 2025-Mar-02 00:00:00.0000,2.51825100014362,-1.51864399220628,-0.5119882400359592,0.004881053308948034,0.008188949439661206,-0.0006400916468171228
