datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,-2.315891736250901,2.385760897332,0.04207413309327134,-0.00692383677491646,-0.006136832261164329,2.519495731228032e-06
A.D. 2025-Jan-06 00:00:00.0000,-2.350276801782576,2.354837859250239,0.04208249766857591,-0.00682998834225774,-0.006232145984395651,8.268120033994152e-07
A.D. 2025-Jan-11 00:00:00.0000,-2.384189626401072,2.323441817073613,0.04208240622087157,-0.006734943946607597,-0.006326031964187242,-8.628671303431375e-07
A.D. 2025-Jan-16 00:00:00.0000,-2.4176242833616,2.29157993834056,0.04207387446961412,-0.006638724819655576,-0.006418478713194515,-2.549262811421244e-06
A.D. 2025-Jan-21 00:00:00.0000,-2.450574952141082,2.259259447394706,0.04205691953220778,-0.006541352219856341,-0.006509474999355773,-4.232094795156835e-06
A.D. 2025-Jan-26 00:00:00.0000,-2.483035918587686,2.226487624072368,0.04203155992956713,-0.006442847437693545,-0.006599009859639529,-5.911082032211382e-06
A.D. 2025-Jan-31 00:00:00.0000,-2.515001575085523,2.193271802328681,0.04199781558840198,-0.006343231797147596,-0.006687072611464404,-7.585943387599762e-06
A.D. 2025-Feb-05 00:00:00.0000,-2.546466420721839,2.159619368803977,0.041955707839294,-0.006242526655187608,-0.00677365286594972,-9.256398670842606e-06
A.D. 2025-Feb-10 00:00:00.0000,-2.577425061442414,2.125537761308869,0.04190525940759855,-0.006140753396631927,-0.006858740548104829,-1.09221706368439e-05
A.D. 2025-Feb-15 00:00:00.0000,-2.6078722101497,2.091034467180252,0.04184649438919802,-0.006037933413462202,-0.006942325928766786,-1.258298935300821e-05
A.D. 2025-Feb-20 00:00:00.0000,-2.637802686605257,2.056117021455648,0.04177943819421855,-0.00593408804077734,-0.007024399661804929,-1.423860094829321e-05
A.D. 2025-Feb-25 00:00:00.0000,-2.667211416817595,2.02079300495145,0.04170411743659918,-0.005829238410565656,-0.007104952767346143,-1.58887794595702e-05
A.D. 2025-Mar-02 00:00:00.0000,-2.696093431569745,1.985070042878804,0.04162055978972071,-0.00572340528649995,-0.00718397640290639,-1.753332306772967e-05
A.D. 2025-Mar-07 00:00:00.0000,-2.724443864805959,1.948955805259087,0.04152879397722842,-0.005616609256300865,-0.007261461422882743,-1.917200025630111e-05
A.D. 2025-Mar-12 00:00:00.0000,-2.752257954415963,1.912458008725791,0.04142885009790212,-0.00550887142402123,-0.007337398417494055,-2.080448936678616e-05
A.D. 2025-Mar-17 00:00:00.0000,-2.77953104571772,1.875584416007918,0.04132076000901642,-0.005400213595632548,-0.007411778489768278,-2.243042501433433e-05
A.D. 2025-Mar-22 00:00:00.0000,-2.806258593559443,1.838342832121572,0.04120455731431207,-0.005290657667784786,-0.007484593603541593,-2.404948253180444e-05
A.D. 2025-Mar-27 00:00:00.0000,-2.832436161579328,1.800741100728099,0.04108027710518795,-0.00518022524148206,-0.00755583627192434,-2.566138789457771e-05
A.D. 2025-Apr-01 00:00:00.0000,-2.858059420721684,1.762787102188763,0.04094795577237501,-0.005068937659248074,-0.007625499274317649,-2.726589122825787e-05
A.D. 2025-Apr-06 00:00:00.0000,-2.883124148254013,1.72448875249883,0.0408076309349268,-0.004956816124160001,-0.007693575574610996,-2.886274936086906e-05
A.D. 2025-Apr-11 00:00:00.0000,-2.907626227265624,1.685854002371084,0.04065934142460402,-0.00484388176913179,-0.007760058324712328,-3.045171998641688e-05
A.D. 2025-Apr-16 00:00:00.0000,-2.931561646398194,1.646890836252304,0.04050312728479413,-0.004730155684731901,-0.007824940881739463,-3.20325607893401e-05
A.D. 2025-Apr-21 00:00:00.0000,-2.954926499661079,1.607607271262954,0.0403390297695094,-0.004615658928188712,-0.007888216820744707,-3.360502995439781e-05
A.D. 2025-Apr-26 00:00:00.0000,-2.977716986272097,1.568011356086078,0.04016709133903815,-0.004500412525852247,-0.007949879942770929,-3.516888691492263e-05
A.D. 2025-May-01 00:00:00.0000,-2.999929410505224,1.528111169820243,0.03998735565166918,-0.004384437473874282,-0.008009924281884842,-3.672389319821063e-05
A.D. 2025-May-06 00:00:00.0000,-3.02156018153858,1.487914820790373,0.03979986755030015,-0.004267754737329284,-0.008068344115838863,-3.826981372535712e-05
A.D. 2025-May-11 00:00:00.0000,-3.042605813285006,1.447430445284795,0.03960467303964669,-0.004150385242580968,-0.008125133985856367,-3.980641948792681e-05
A.D. 2025-May-16 00:00:00.0000,-3.063062924136664,1.406666206162589,0.03940181924314778,-0.004032349846286474,-0.008180288728358106,-4.133349335071462e-05
A.D. 2025-May-21 00:00:00.0000,-3.082928236425011,1.365630291304004,0.0391913543190985,-0.003913669245167607,-0.008233803498229946,-4.285084059905621e-05
A.D. 2025-May-26 00:00:00.0000,-3.102198575215796,1.324330912148253,0.03897332732108343,-0.003794363804415405,-0.008285673684205611,-4.435829812911849e-05
A.D. 2025-May-31 00:00:00.0000,-3.120870866333177,1.28277630328319,0.03874778807185104,-0.003674453481472537,-0.00833589455726221,-4.585571306653244e-05
A.D. 2025-Jun-05 00:00:00.0000,-3.138942135176511,1.240974724104959,0.03851478727721903,-0.003553958274178837,-0.008384460908156137,-4.734287241899278e-05
A.D. 2025-Jun-10 00:00:00.0000,-3.156409508708617,1.198934460584935,0.0382743769376368,-0.003432898864276128,-0.008431367456253747,-4.881947788723989e-05
A.D. 2025-Jun-15 00:00:00.0000,-3.173270218741254,1.156663823596117,0.03802661059538001,-0.003311296399645725,-0.008476609596082095,-5.02852272880226e-05
A.D. 2025-Jun-20 00:00:00.0000,-3.189521602623155,1.114171145193064,0.03777154317417538,-0.003189171874000832,-0.008520183403983068,-5.173987237724999e-05
A.D. 2025-Jun-25 00:00:00.0000,-3.205161101837102,1.071464776126529,0.03750923072619315,-0.003066545954805004,-0.008562085273271574,-5.318320514152131e-05
A.D. 2025-Jun-30 00:00:00.0000,-3.220186260605308,1.028553084832933,0.03723973029874194,-0.002943439092680833,-0.008602311721953521,-5.461503237071474e-05
A.D. 2025-Jul-05 00:00:00.0000,-3.234594725098219,0.9854444569299666,0.03696309989599137,-0.002819871629467125,-0.008640859360457153,-5.603516345961833e-05
A.D. 2025-Jul-10 00:00:00.0000,-3.248384243046563,0.9421472947217583,0.03667939847667401,-0.002695863853242881,-0.008677724907160204,-5.744340699238056e-05
A.D. 2025-Jul-15 00:00:00.0000,-3.26155266353992,0.8986700166111914,0.03638868595950929,-0.002571436021952283,-0.008712905206840827,-5.883957043753047e-05
A.D. 2025-Jul-20 00:00:00.0000,-3.27409793690608,0.8550210564323693,0.03609102322777843,-0.002446608374240772,-0.008746397244117595,-6.022346059077765e-05
A.D. 2025-Jul-25 00:00:00.0000,-3.286018114632014,0.8112088627246964,0.03578647213130316,-0.00232140113610005,-0.008778198153963418,-6.159488414277622e-05
A.D. 2025-Jul-30 00:00:00.0000,-3.2973113493141,0.7672418979533485,0.03547509548519254,-0.002195834526027958,-0.008808305233389914,-6.295364845626989e-05
A.D. 2025-Aug-04 00:00:00.0000,-3.307975894628129,0.7231286376581891,0.03515695706313018,-0.002069928757073228,-0.008836715959299761,-6.429956311218407e-05
A.D. 2025-Aug-09 00:00:00.0000,-3.318010105285751,0.678877569486572,0.03483212157861759,-0.001943704026945565,-0.008863428017800868,-6.563244346133616e-05
A.D. 2025-Aug-14 00:00:00.0000,-3.327412436866007,0.6344971920513508,0.03450065463930365,-0.001817180472162048,-0.008888439342613958,-6.695211818793639e-05
A.D. 2025-Aug-19 00:00:00.0000,-3.336181445242934,0.5899960136490343,0.03416262265182304,-0.00169037804604361,-0.00891174811830892,-6.825844095045066e-05
A.D. 2025-Aug-24 00:00:00.0000,-3.344315785224188,0.5453825513278001,0.03381809268202664,-0.001563316346607558,-0.00893335260563734,-6.955129203805273e-05
A.D. 2025-Aug-29 00:00:00.0000,-3.351814208793767,0.5006653315265183,0.03346713240667139,-0.001436014712201234,-0.008953250711907662,-7.083053459309092e-05
A.D. 2025-Sep-03 00:00:00.0000,-3.358675565289911,0.4558528924617817,0.03310981038499091,-0.001308492874967011,-0.008971439875938266,-7.209594536016376e-05
A.D. 2025-Sep-08 00:00:00.0000,-3.364898804690168,0.4109537849186702,0.03274619648435784,-0.001180771332563532,-0.00898791777806637,-7.334723870903716e-05
A.D. 2025-Sep-13 00:00:00.0000,-3.370482980352113,0.3659765694294207,0.03237636196038058,-0.001052870821959181,-0.009002682847964905,-7.458415647566644e-05
A.D. 2025-Sep-18 00:00:00.0000,-3.375427248813039,0.3209298129328449,0.03200037922457761,-0.0009248118448518204,-0.009015734027106358,-7.580649209048179e-05
A.D. 2025-Sep-23 00:00:00.0000,-3.379730868457071,0.2758220870832843,0.0316183216430944,-0.0007966146578972975,-0.009027070453975666,-7.701406569591818e-05
A.D. 2025-Sep-28 00:00:00.0000,-3.383393198606324,0.2306619676017408,0.03123026345981763,-0.0006682993985255223,-0.009036691358745795,-7.820670392679861e-05
A.D. 2025-Oct-03 00:00:00.0000,-3.386413699157521,0.1854580338319323,0.03083627978659809,-0.0005398861683879985,-0.009044596065834713,-7.93842324082516e-05
A.D. 2025-Oct-08 00:00:00.0000,-3.388791930509182,0.1402188682087057,0.03043644661319844,-0.0004113950701616564,-0.009050784018429743,-8.054647434518715e-05
A.D. 2025-Oct-13 00:00:00.0000,-3.390527553607037,0.09495305560832325,0.0300308408185973,-0.0002828462213422543,-0.009055254799825031,-8.169325097361693e-05
A.D. 2025-Oct-18 00:00:00.0000,-3.391620330032469,0.04966918260618605,0.02961954017879009,-0.0001542597591667729,-0.009058008149440291,-8.282438239806518e-05
A.D. 2025-Oct-23 00:00:00.0000,-3.392070122106588,0.00437583666148318,0.02920262337014467,-2.565584245106754e-05,-0.009059043976692726,-8.393968853962153e-05
A.D. 2025-Oct-28 00:00:00.0000,-3.391876892998731,-0.04091839477116812,0.02878016996728073,0.0001029453486404716,-0.009058362377146514,-8.503899045960354e-05
A.D. 2025-Nov-02 00:00:00.0000,-3.391040706822155,-0.08620492522757521,0.0283522604318992,0.0002315236187037416,-0.009055963656306495,-8.612211284429763e-05
A.D. 2025-Nov-07 00:00:00.0000,-3.389561728659277,-0.1314751703677285,0.02791897608317068,0.0003600587827445226,-0.009051848365120923,-8.718888923616183e-05
A.D. 2025-Nov-12 00:00:00.0000,-3.387440224347083,-0.1767205492980486,0.02748039903083412,0.0004885307435120655,-0.00904601733433408,-8.823917191380567e-05
A.D. 2025-Nov-17 00:00:00.0000,-3.384676559666926,-0.2219324859197748,0.02703661205160814,0.0006169196531292581,-0.009038471628001872,-8.927284290835526e-05
A.D. 2025-Nov-22 00:00:00.0000,-3.381271198694125,-0.2671024094906356,0.02658769845283038,0.0007452060401014908,-0.009029212250180644,-9.028980169480954e-05
A.D. 2025-Nov-27 00:00:00.0000,-3.377224702468586,-0.3122217532027234,0.0261337421275221,0.0008733704795806697,-0.009018239729584716,-9.128990105179412e-05
A.D. 2025-Dec-02 00:00:00.0000,-3.372537730560284,-0.3572819520005211,0.02567482793670741,0.001001392898260336,-0.009005554360293612,-9.227290308002617e-05
A.D. 2025-Dec-07 00:00:00.0000,-3.367211044673374,-0.4022744434373226,0.02521104202971958,0.001129252607948221,-0.008991156996193581,-9.323854737789368e-05
A.D. 2025-Dec-12 00:00:00.0000,-3.361245510120881,-0.4471906712447107,0.02474247174650287,0.001256928944667921,-0.00897504921270496,-9.418662308589359e-05
A.D. 2025-Dec-17 00:00:00.0000,-3.354642094815163,-0.4920220880988161,0.02426920535667154,0.00138440153508265,-0.00895723295367052,-9.511696466263752e-05
