datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,-2.250582048106207,-0.1756708258072572,0.2792640768981432,0.001874290194917156,-0.01145990845301027,0.0001120390178170053
A.D. 2025-Jan-06 00:00:00.0000,-2.240502770269889,-0.2329090973817184,0.2797362582106548,0.002157505635479488,-0.01143417014832321,7.678668736188133e-05
A.D. 2025-Jan-11 00:00:00.0000,-2.22900630940391,-0.2900001663685997,0.2800314938177341,0.002441130314331375,-0.01140101546758064,4.126441062063916e-05
A.D. 2025-Jan-16 00:00:00.0000,-2.216091119935244,-0.3469067761451677,0.2801484897647262,0.002724963141167756,-0.01136037542800964,5.494628555259266e-06
A.D. 2025-Jan-21 00:00:00.0000,-2.20175667429367,-0.4035913391745114,0.2800860662505102,0.003008798024701722,-0.01131218670387595,-3.049943948293464e-05
A.D. 2025-Jan-26 00:00:00.0000,-2.186003487601088,-0.4600159661449893,0.2798431615007758,0.003292424003238181,-0.01125639196761374,-6.669380364823418e-05
A.D. 2025-Jan-31 00:00:00.0000,-2.168833141646458,-0.5161424968087734,0.2794188355954406,0.003575625399295008,-0.01119294022877108,-0.0001030637140615063
A.D. 2025-Feb-05 00:00:00.0000,-2.150248308030989,-0.5719325325157784,0.2788122742368299,0.003858181996999014,-0.01112178717378332,-0.0001395836741273575
A.D. 2025-Feb-10 00:00:00.0000,-2.130252770364221,-0.6273474704563311,0.2780227924426854,0.004139869245312286,-0.01104289551039668,-0.0001762274574603719
A.D. 2025-Feb-15 00:00:00.0000,-2.10885144535878,-0.6823485396454577,0.2770498381426314,0.00442045849831607,-0.01095623532014121,-0.0002129681298974481
A.D. 2025-Feb-20 00:00:00.0000,-2.086050402577109,-0.7368968386791347,0.2758929956474249,0.004699717320613922,-0.01086178441085865,-0.0002497780786850584
A.D. 2025-Feb-25 00:00:00.0000,-2.061856882402014,-0.7909533751468807,0.2745519889547462,0.004977409896881799,-0.01075952860842894,-0.0002866290476235799
A.D. 2025-Mar-02 00:00:00.0000,-2.036279311774856,-0.8444791060286755,0.2730266848972653,0.005253297482627733,-0.01064946182791011,-0.0003234921595295147
