datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,1.056033545576702,4.971452162023883,-0.04427806378454757,-0.007476272400979211,0.001924466075080766,0.0001592575331437652
A.D. 2025-Jan-06 00:00:00.0000,1.018625283893956,4.980935738152541,-0.04348043926760834,-0.007487926136829032,0.001869479180853722,0.0001597957203264464
A.D. 2025-Jan-11 00:00:00.0000,0.9811573049526305,4.990136199589922,-0.04268048115238507,-0.007498244649890136,0.001812187784124881,0.0001602541999809119
A.D. 2025-Jan-16 00:00:00.0000,0.9436353718546202,4.999056462300603,-0.04187806960519172,-0.007508966912865096,0.001755163401812154,0.0001607022591067904
A.D. 2025-Jan-21 00:00:00.0000,0.9060617369650902,5.00769811819816,-0.04107319908601268,-0.007521137681505679,0.001699862872731696,0.0001611751203588457
A.D. 2025-Jan-26 00:00:00.0000,0.8684351463943099,5.016055738286575,-0.04026614440930405,-0.007530507511669896,0.001643595132565768,0.0001616466441746024
A.D. 2025-Jan-31 00:00:00.0000,0.8307602175164938,5.024131041762315,-0.03945684092846317,-0.007539151736411728,0.00158731627898598,0.0001621048662439258
A.D. 2025-Feb-05 00:00:00.0000,0.7930401010400049,5.031927396592009,-0.03864521407763431,-0.00754899236973636,0.001531095531509314,0.0001625350772086439
A.D. 2025-Feb-10 00:00:00.0000,0.7552745253871452,5.039440578513115,-0.03783148284034386,-0.007557072521855608,0.001474751770206915,0.0001629792645773071
A.D. 2025-Feb-15 00:00:00.0000,0.7174655357379394,5.046670222174784,-0.03701569869529634,-0.007565082637249871,0.001417305890234212,0.0001633606778136883
A.D. 2025-Feb-20 00:00:00.0000,0.6796183204055646,5.053619648997143,-0.03619775124024308,-0.007573742984005014,0.001360801341938119,0.0001637553745524817
A.D. 2025-Feb-25 00:00:00.0000,0.6417336411910256,5.060287488989831,-0.03537775580561891,-0.007581778596463807,0.001305923029280205,0.0001642026238168001
A.D. 2025-Mar-02 00:00:00.0000,0.6038107650482112,5.066670264528861,-0.03455591646562784,-0.007587536848541236,0.001248844426489771,0.0001645889068130918
A.D. 2025-Mar-07 00:00:00.0000,0.5658556780491165,5.072771305743832,-0.03373210139663967,-0.007593351882024748,0.001191967710060294,0.0001649634864359581
A.D. 2025-Mar-12 00:00:00.0000,0.5278701485766255,5.078592373377583,-0.03290631628229198,-0.007600694718623671,0.001135784565065606,0.000165325099084075
A.D. 2025-Mar-17 00:00:00.0000,0.48985325566049,5.084128425252218,-0.03207882055823973,-0.007605800835950156,0.00107870358366626,0.0001656789341085879
A.D. 2025-Mar-22 00:00:00.0000,0.451809681417411,5.089381592274198,-0.03124954267574547,-0.007611073111420752,0.001022075359381691,0.0001660201003454286
A.D. 2025-Mar-27 00:00:00.0000,0.4137427440104763,5.094354660081002,-0.03041843073233513,-0.007616857793432051,0.0009662534165149843,0.0001663714922254467
A.D. 2025-Apr-01 00:00:00.0000,0.3756519403546895,5.099043905979598,-0.0295856948299688,-0.007620405879642491,0.0009106039244122371,0.0001667497974107907
A.D. 2025-Apr-06 00:00:00.0000,0.3375387803111098,5.103449114184385,-0.0287513954434547,-0.00762345359454955,0.0008528924740998214,0.0001670383442881461
A.D. 2025-Apr-11 00:00:00.0000,0.299408983961129,5.107573825074144,-0.02791540910104567,-0.007627369068205993,0.0007959411176179907,0.0001673294863742262
A.D. 2025-Apr-16 00:00:00.0000,0.261262997998177,5.11141718111803,-0.02707784637204635,-0.007631627134097808,0.0007404055534464049,0.0001676494524776298
A.D. 2025-Apr-21 00:00:00.0000,0.2231002965884188,5.114975555814638,-0.02623891540727406,-0.007633655681039405,0.0006833254529070553,0.00016793282154179
A.D. 2025-Apr-26 00:00:00.0000,0.1849270766541783,5.118252514756588,-0.02539847782179804,-0.007635666336492066,0.000627324618989424,0.0001682328864258443
A.D. 2025-May-01 00:00:00.0000,0.1467445551057633,5.121249519547056,-0.0245565635248005,-0.007638209484060797,0.0005716585193794454,0.000168523022980478
A.D. 2025-May-06 00:00:00.0000,0.1085518053053358,5.123962081770792,-0.02371341371507559,-0.007638290046543868,0.0005146874479759235,0.0001687919632291012
A.D. 2025-May-11 00:00:00.0000,0.07035328268295779,5.126392825147859,-0.02286895001880946,-0.007639348896831187,0.0004573992136966527,0.0001690079631352424
A.D. 2025-May-16 00:00:00.0000,0.03215279739898765,5.128544265105288,-0.02202312537969688,-0.007641218861322224,0.0004013646822823807,0.0001692472254298983
A.D. 2025-May-21 00:00:00.0000,-0.006050274313399033,5.130413179697353,-0.02117614050054598,-0.007641339403931639,0.0003462522508150036,0.0001695288547649489
A.D. 2025-May-26 00:00:00.0000,-0.04425469203635628,5.131999048216946,-0.02032807512330874,-0.007640235669795021,0.000289284484721805,0.0001697402806300752
A.D. 2025-May-31 00:00:00.0000,-0.08245446554515093,5.133305537554539,-0.01947880072452106,-0.007639353527039846,0.0002332738446471207,0.0001699676573713266
A.D. 2025-Jun-05 00:00:00.0000,-0.1206498522010666,5.134332172835924,-0.01862843349561595,-0.007638837160416408,0.0001775832320534784,0.0001701834988688961
A.D. 2025-Jun-10 00:00:00.0000,-0.1588410799419185,5.135075590871816,-0.01777716960669982,-0.007636526644998771,0.0001201284151137187,0.0001703492874666333
A.D. 2025-Jun-15 00:00:00.0000,-0.1970217001942685,5.135539764494169,-0.01692485977825785,-0.007635215920653268,6.425564160694467e-05,0.0001705316677991756
A.D. 2025-Jun-20 00:00:00.0000,-0.2351905853546067,5.135725646160334,-0.01607155790277319,-0.007633983648758675,9.307867084437564e-06,0.000170733731720322
A.D. 2025-Jun-25 00:00:00.0000,-0.2733486991857046,5.135629168680602,-0.01521749371428114,-0.007629829218579517,-4.638642913740401e-05,0.0001709373908942517
A.D. 2025-Jun-30 00:00:00.0000,-0.3114920880622351,5.135253052153399,-0.01436259929509456,-0.007626195081366745,-0.0001031446707185526,0.0001710682610537152
A.D. 2025-Jul-05 00:00:00.0000,-0.3496166266533751,5.134599838441595,-0.01350682364323375,-0.007623196409873473,-0.0001590086625436957,0.000171212106802756
A.D. 2025-Jul-10 00:00:00.0000,-0.3877232395361096,5.133667081109548,-0.0126503517332946,-0.007619525450696684,-0.0002143114674661261,0.0001713668333400184
A.D. 2025-Jul-15 00:00:00.0000,-0.4258104755120411,5.132454042297162,-0.01179327020864751,-0.007614887549935972,-0.000271009876225512,0.0001714665071485542
A.D. 2025-Jul-20 00:00:00.0000,-0.463871969607321,5.130964475709005,-0.01093544575928578,-0.007610413400684193,-0.00032565227505098,0.0001716185236960787
A.D. 2025-Jul-25 00:00:00.0000,-0.5019087120907494,5.12919779706047,-0.01007701515291205,-0.007605488838940695,-0.0003802510835452697,0.0001717615747790187
A.D. 2025-Jul-30 00:00:00.0000,-0.5399208570747521,5.127150970567603,-0.009218161648209964,-0.00759826906606391,-0.0004369151515281813,0.0001718500767946732
A.D. 2025-Aug-04 00:00:00.0000,-0.5779021306383415,5.124828465007523,-0.008358727839741039,-0.007592710034514374,-0.0004927379318175098,0.0001719171126116713
A.D. 2025-Aug-09 00:00:00.0000,-0.6158512284301674,5.122231025041814,-0.007498775062816386,-0.00758753587775879,-0.000547622508099897,0.0001720020230599662
A.D. 2025-Aug-14 00:00:00.0000,-0.6537689984980751,5.119355173323591,-0.006638515149859922,-0.007580142276277833,-0.0006024363456136055,0.0001721034880799257
A.D. 2025-Aug-19 00:00:00.0000,-0.6916517194625229,5.116203279249633,-0.00577790137742724,-0.00757277890703684,-0.000657978903536805,0.0001721527129503903
A.D. 2025-Aug-24 00:00:00.0000,-0.7294950559124632,5.112777803599593,-0.004916884740502753,-0.007565167924372555,-0.0007122719003289233,0.0001722382290430929
A.D. 2025-Aug-29 00:00:00.0000,-0.76730068253307,5.109076905180783,-0.004055647843226082,-0.007556889104119334,-0.0007670060748542866,0.0001722966778565124
A.D. 2025-Sep-03 00:00:00.0000,-0.8050669105682502,5.105099933574205,-0.003194272333526876,-0.007547879083223988,-0.0008235988446728484,0.0001722818248035534
A.D. 2025-Sep-08 00:00:00.0000,-0.8427870298380429,5.100851058995432,-0.002332611395437937,-0.007540056602598095,-0.0008776893339224043,0.0001723168605651373
A.D. 2025-Sep-13 00:00:00.0000,-0.8804623250943932,5.096329419324634,-0.001470821071435262,-0.007531682306588507,-0.0009313217425389623,0.0001723611457554685
A.D. 2025-Sep-18 00:00:00.0000,-0.9180927547573401,5.091532218783068,-0.0006090743099909182,-0.007520557187558098,-0.0009862140666099407,0.0001723835252315502
A.D. 2025-Sep-23 00:00:00.0000,-0.9556725201142895,5.086463997386192,0.0002527753494513906,-0.007510616289788698,-0.001040745546658057,0.0001723734043341317
A.D. 2025-Sep-28 00:00:00.0000,-0.9932002961556932,5.081125454199266,0.001114664538785017,-0.007500581074433513,-0.001094875750471022,0.0001723698110904649
A.D. 2025-Oct-03 00:00:00.0000,-1.030677105777904,5.075514041268307,0.001976406617141309,-0.007489383882466658,-0.001149356021242429,0.0001723490375755856
A.D. 2025-Oct-08 00:00:00.0000,-1.06809908358062,5.069631874189459,0.002838038945519091,-0.007478658031089398,-0.001204345255653625,0.0001722804390446083
A.D. 2025-Oct-13 00:00:00.0000,-1.105461475694754,5.063481420531084,0.003699614977593518,-0.007467667424256426,-0.001256898134425811,0.0001722878965944309
A.D. 2025-Oct-18 00:00:00.0000,-1.142766728224693,5.057060960884628,0.004560939980968959,-0.00745545479677348,-0.001310001267295884,0.0001722723749759316
A.D. 2025-Oct-23 00:00:00.0000,-1.180013046027835,5.050369872224355,0.00542193681960935,-0.007441762664931531,-0.001365150837625752,0.0001721880784675481
A.D. 2025-Oct-28 00:00:00.0000,-1.217193898101639,5.043412828334453,0.006282762672933599,-0.007429700553145735,-0.001418451307488954,0.0001721212455614044
A.D. 2025-Nov-02 00:00:00.0000,-1.254310719407385,5.036188927289951,0.00714325644111811,-0.007417428152843543,-0.001471710365672215,0.0001720465354643569
A.D. 2025-Nov-07 00:00:00.0000,-1.291363105025274,5.028695913869142,0.008003268137966766,-0.007403234629142092,-0.001525407787012304,0.0001719641698768962
A.D. 2025-Nov-12 00:00:00.0000,-1.328345494091506,5.020937989871813,0.008862924013265022,-0.007390008455542613,-0.00157828427302672,0.0001718701188348019
A.D. 2025-Nov-17 00:00:00.0000,-1.36525649765955,5.012915649168125,0.009722154579107056,-0.007375667698449015,-0.001630327624615234,0.0001718119691389351
A.D. 2025-Nov-22 00:00:00.0000,-1.402097788191185,5.004627066591173,0.0105807839472982,-0.007360149161141536,-0.001683504740577838,0.0001717061907023961
A.D. 2025-Nov-27 00:00:00.0000,-1.438865411828493,4.996074245450399,0.01143884631349353,-0.007345120998749263,-0.001737844830980107,0.0001715315144359389
A.D. 2025-Dec-02 00:00:00.0000,-1.475554284359788,4.987260085880706,0.01229641168812271,-0.00733074788197595,-0.001789448616910113,0.0001714269967594939
A.D. 2025-Dec-07 00:00:00.0000,-1.512167253046118,4.978182867544158,0.01315327531658782,-0.00731547347024708,-0.001841368016766941,0.0001713050372245429
A.D. 2025-Dec-12 00:00:00.0000,-1.548702142359486,4.968841913649009,0.01400936504551423,-0.007298277182443474,-0.001894335144062289,0.0001711553219802356
A.D. 2025-Dec-17 00:00:00.0000,-1.585152891409976,4.959241971915143,0.01486482868764311,-0.007282216872146572,-0.001945646265571081,0.0001710217622830926
A.D. 2025-Dec-22 00:00:00.0000,-1.621521205002602,4.949382091332926,0.01571950022555903,-0.007265287239356565,-0.001997616551414866,0.0001708665976449876
A.D. 2025-Dec-27 00:00:00.0000,-1.657806658181295,4.939260902302945,0.01657325917843641,-0.007247343743998754,-0.002050416068923533,0.0001706734078127579
