datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,0.4534187654737982,0.5622160792960551,-0.01844136025242647,-0.01580627428004959,0.01261006264179427,0.001085217883057661
A.D. 2025-Jan-06 00:00:00.0000,0.370202197759615,0.6195503406731504,-0.01285228488241113,-0.01742659524635467,0.01028502391479735,0.001146780027556492
A.D. 2025-Jan-11 00:00:00.0000,0.2797169702339918,0.664718563158151,-0.00701088843730159,-0.01870863716774515,0.007751488392448149,0.001185959665783793
A.D. 2025-Jan-16 00:00:00.0000,0.1837254273193948,0.6967995640633442,-0.001031511412570292,-0.01962515729140471,0.005058681613435681,0.001201860896000352
A.D. 2025-Jan-21 00:00:00.0000,0.08410851519525116,0.7151280489640085,0.004968176457101755,-0.02015606466035315,0.002259566259836074,0.001194051802581091
A.D. 2025-Jan-26 00:00:00.0000,-0.01717145976151001,0.719310693062939,0.01086954589771499,-0.02028898782733485,-0.0005902184690255476,0.001162582643347395
A.D. 2025-Jan-31 00:00:00.0000,-0.1181105108427157,0.7092366560339254,0.01655544201733656,-0.02001967849744121,-0.003433518654224036,0.001107993179422504
A.D. 2025-Feb-05 00:00:00.0000,-0.2167042130528977,0.6850820922446812,0.02191262587352139,-0.01935222959050677,-0.006212900554614142,0.001031308291835841
A.D. 2025-Feb-10 00:00:00.0000,-0.3109895370088653,0.6473083722912937,0.02683416379050624,-0.01829909181673939,-0.008871925250706365,0.0009340214248781069
A.D. 2025-Feb-15 00:00:00.0000,-0.3990862418705673,0.5966539090078723,0.03122170335690384,-0.01688087987832811,-0.01135642575903323,0.0008180658554530954
A.D. 2025-Feb-20 00:00:00.0000,-0.479236769810802,0.5341196737022612,0.03498757626026206,-0.01512596744665353,-0.01361574717779316,0.0006857742829310878
A.D. 2025-Feb-25 00:00:00.0000,-0.5498436015550715,0.4609486868134148,0.03805667184526769,-0.0130698786174916,-0.01560391027161301,0.0005398277361176515
A.D. 2025-Mar-02 00:00:00.0000,-0.6095030925622974,0.3785999611333098,0.04036803148880656,-0.01075449212711403,-0.01728066087202144,0.0003831952780589289
A.D. 2025-Mar-07 00:00:00.0000,-0.6570349114597273,0.2887175541062882,0.04187612237695677,-0.0082270827143264,-0.01861237179767944,0.000219066403883935
A.D. 2025-Mar-12 00:00:00.0000,-0.6915063412240559,0.1930955361700585,0.04255175938590228,-0.005539230344044405,-0.01957277070913727,5.077824128717152e-05
A.D. 2025-Mar-17 00:00:00.0000,-0.7122508673137291,0.09363979707405036,0.04238265449530091,-0.002745631796407418,-0.02014347431851531,-0.0001182602595016798
A.D. 2025-Mar-22 00:00:00.0000,-0.7188806586311919,-0.007672306367342611,0.04137358451186055,9.71470789287533e-05,-0.02031431617565975,-0.0002846447913000333
A.D. 2025-Mar-27 00:00:00.0000,-0.7112927462088814,-0.108833415809955,0.03954617967740223,0.002931937839623417,-0.02008346438558288,-0.0004450505059748011
A.D. 2025-Apr-01 00:00:00.0000,-0.6896689030094354,-0.2078477092193507,0.03693834675553501,0.005702216553641294,-0.01945733425411456,-0.0005963030619881137
A.D. 2025-Apr-06 00:00:00.0000,-0.6544694075834903,-0.3027715133502898,0.03360335045243137,0.008353297881224122,-0.01845030816003033,-0.0007354439426507347
A.D. 2025-Apr-11 00:00:00.0000,-0.6064210327626461,-0.391752072146846,0.02960858595810161,0.01083344636052718,-0.01708428164986645,-0.0008597884616075102
A.D. 2025-Apr-16 00:00:00.0000,-0.5464997377322923,-0.473063659078309,0.02503408221563283,0.01309488019883574,-0.01538805906156199,-0.0009669753194651947
A.D. 2025-Apr-21 00:00:00.0000,-0.4759086489202424,-0.5451403452192526,0.01997077989514352,0.01509464947676215,-0.01339662468685761,-0.001055007106530029
A.D. 2025-Apr-26 00:00:00.0000,-0.3960519897542523,-0.6066048685502025,0.0145186299403769,0.01679537692304963,-0.01115031661966951,-0.001122281562597215
A.D. 2025-May-01 00:00:00.0000,-0.3085056637033212,-0.6562931849823681,0.008784558841747815,0.01816585529824786,-0.008693929932597868,-0.001167613655643817
A.D. 2025-May-06 00:00:00.0000,-0.2149852113085943,-0.6932744112009264,0.002880345916710504,0.0191815006861681,-0.006075774219544286,-0.001190248766372068
A.D. 2025-May-11 00:00:00.0000,-0.1173118543296179,-0.7168659888003936,-0.003079544085630494,0.01982466524448668,-0.003346708094922033,-0.001189867470443256
A.D. 2025-May-16 00:00:00.0000,-0.01737731403139241,-0.7266440047104121,-0.008980132599505697,0.02008481612165833,-0.0005591701939435745,-0.001166582559891998
A.D. 2025-May-21 00:00:00.0000,0.08289194855781139,-0.7224486923348044,-0.01470806606103024,0.01995858933774389,0.002233777126474204,-0.001120929026883373
A.D. 2025-May-26 00:00:00.0000,0.1815704696555395,-0.7043852103461257,-0.02015368859215186,0.0194497284862919,0.004979378562619993,-0.001053847746302283
A.D. 2025-May-31 00:00:00.0000,0.2767689459698186,-0.6728198522526344,-0.02521301878840257,0.01856891811519968,0.007626081376272924,-0.0009666635425534732
A.D. 2025-Jun-05 00:00:00.0000,0.3666683206440054,-0.6283718826474455,-0.02978960411768313,0.01733352088721116,0.01012438805844569,-0.0008610582733504548
A.D. 2025-Jun-10 00:00:00.0000,0.449552332832823,-0.57190123046683,-0.03379622965528867,0.0157672273645479,0.01242766001104522,-0.0007390395904620264
A.D. 2025-Jun-15 00:00:00.0000,0.5238381154674653,-0.5044922943642567,-0.03715646099384586,0.01389962667565095,0.01449286863939851,-0.0006029059100410522
A.D. 2025-Jun-20 00:00:00.0000,0.5881044602650674,-0.4274341287029608,-0.03980600307183126,0.01176570339435401,0.01628129152946559,-0.0004552078423479076
A.D. 2025-Jun-25 00:00:00.0000,0.6411173902004562,-0.3421972935311686,-0.0416938578082266,0.009405264247575073,0.01775914994538101,-0.0002987063370350144
A.D. 2025-Jun-30 00:00:00.0000,0.6818526976207123,-0.2504076731051849,-0.0427832649117252,0.006862298232334465,0.01889818314725627,-0.0001363278555130512
A.D. 2025-Jul-05 00:00:00.0000,0.7095151229809997,-0.1538175909157349,-0.04305241165919776,0.004184273210160289,0.01967615455865851,2.888317509226515e-05
A.D. 2025-Jul-10 00:00:00.0000,0.7235538634448212,-0.05427457688638428,-0.04249489863840385,0.001421371732516208,0.02007728356503658,0.0001938143877599328
A.D. 2025-Jul-15 00:00:00.0000,0.7236741152179372,0.04631182260707011,-0.04111994974871153,-0.001374330671388885,0.02009259515970281,0.0003553376915329594
A.D. 2025-Jul-20 00:00:00.0000,0.7098443724376446,0.1460047585228638,-0.03895235642257801,-0.00414974027469136,0.01972017816141338,0.0005103632934457657
A.D. 2025-Jul-25 00:00:00.0000,0.6822992323421799,0.2428758337957558,-0.03603214826109456,-0.006851666597657622,0.01896534151091555,0.000655895012963438
A.D. 2025-Jul-30 00:00:00.0000,0.6415374946347069,0.3350413613233483,-0.03241398523018876,-0.009427781545763446,0.01784065740983326,0.0007890862167473154
A.D. 2025-Aug-04 00:00:00.0000,0.5883153953650315,0.4206985311097715,-0.02816627036794396,-0.01182760417292735,0.01636587999838457,0.0009072955217794919
A.D. 2025-Aug-09 00:00:00.0000,0.5236348845300669,0.4981608374684703,-0.02336998668426986,-0.0140034955439907,0.01456772906990303,0.001008141226236113
A.D. 2025-Aug-14 00:00:00.0000,0.4487269431967187,0.5658920687933622,-0.01811726759785898,-0.01591164458213786,0.01247953015015256,0.001089553246006595
A.D. 2025-Aug-19 00:00:00.0000,0.3650300402121137,0.6225381260070207,-0.01250971676542543,-0.0175130223697752,0.01014070525465938,0.001149821181896558
A.D. 2025-Aug-24 00:00:00.0000,0.2741639486575486,0.6669559173959454,-0.006656500306253716,-0.01877427953341963,0.007596112855455199,0.00118763704354199
A.D. 2025-Aug-29 00:00:00.0000,0.1778992742094566,0.6982385828406916,-0.0006722419464291814,-0.01966855943926602,0.004895240699571319,0.001202131096883699
A.D. 2025-Sep-03 00:00:00.0000,0.07812318673587147,0.7157363306434457,0.005325240646266099,-0.02017619899915179,0.002091259806024229,0.001192899296434695
A.D. 2025-Sep-08 00:00:00.0000,-0.02319801300169901,0.7190722265479652,0.01121731280299471,-0.02028528923992777,-0.0007600452612596313,0.001160020946964496
A.D. 2025-Sep-13 00:00:00.0000,-0.1240587231241359,0.7081523747210245,0.01688696101176105,-0.01999206924678727,-0.003601445329914014,0.00110406534495906
A.D. 2025-Sep-18 00:00:00.0000,-0.222455378610972,0.6831700646775598,0.02222123501132708,-0.01930113260206659,-0.006375506293176027,0.001026086631661174
A.D. 2025-Sep-23 00:00:00.0000,-0.3164283207786339,0.6446036102648679,0.02711363386787417,-0.01822543150391694,-0.00902586667900342,0.0009276064904901014
A.D. 2025-Sep-28 00:00:00.0000,-0.4041031616450768,0.5932077836629879,0.03146637497746516,-0.01678606978217287,-0.01149851554560211,0.0008105846582017772
A.D. 2025-Oct-03 00:00:00.0000,-0.4837305826864362,0.5299989419609676,0.03519248610857648,-0.01501188429529313,-0.01374303085361678,0.0006773777604116839
A.D. 2025-Oct-08 00:00:00.0000,-0.5537235271348597,0.4562341438001798,0.03821766448614788,-0.01293882307639826,-0.01571373856889824,0.0005306875053667003
A.D. 2025-Oct-13 00:00:00.0000,-0.6126908084983882,0.3733847474518647,0.04048185326852814,-0.01060913718413169,-0.01737075504793142,0.0003734997315769856
A.D. 2025-Oct-18 00:00:00.0000,-0.6594662627007153,0.283105158851679,0.04194049425301107,-0.008070411014429969,-0.01868087961947352,0.0002090161930803781
A.D. 2025-Oct-23 00:00:00.0000,-0.6931327118990469,0.1871975488058604,0.0425654258336821,-0.005374462322149185,-0.0196183104416838,4.058125525405301e-05
A.D. 2025-Oct-28 00:00:00.0000,-0.713040176930868,0.08757347480243341,0.04234540657617346,-0.002576147937959913,-0.02016516425352878,-0.0001283941565250369
A.D. 2025-Nov-02 00:00:00.0000,-0.7188179628743918,-0.01378658091530868,0.04128625663959287,0.0002678861481697019,-0.02031178899854657,-0.0002945089731850853
A.D. 2025-Nov-07 00:00:00.0000,-0.7103804377738023,-0.1148747117063597,0.03941062101886859,0.003100471140767085,-0.02005686686600736,-0.0004544464686841383
A.D. 2025-Nov-12 00:00:00.0000,-0.6879265174986382,-0.2136970884383709,0.03675736959308684,0.005865160588814989,-0.01940731345776001,-0.0006050447239140608
