datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,-0.1786834409731047,0.9669827953774551,-5.109423915082682e-05,-0.01720473858166942,-0.003193533189307208,5.457174067040888e-09
A.D. 2025-Jan-06 00:00:00.0000,-0.2638860055608138,0.9472623998203784,-5.212109630758703e-05,-0.01685322731782515,-0.004688147437261418,-2.948136004048319e-07
A.D. 2025-Jan-11 00:00:00.0000,-0.3469978616952718,0.9201789565948565,-5.25714016290287e-05,-0.01637107028080232,-0.006136759033190068,2.362775286750459e-07
A.D. 2025-Jan-16 00:00:00.0000,-0.4274008638183446,0.8859798726297432,-4.938823711066347e-05,-0.01577086319669647,-0.007534414755632076,9.831978806517877e-07
A.D. 2025-Jan-21 00:00:00.0000,-0.5045116975681133,0.84492320922523,-4.377934488012559e-05,-0.01505376288745652,-0.008878664640874952,1.140903851493535e-06
A.D. 2025-Jan-26 00:00:00.0000,-0.5777410064858755,0.7972995577013829,-3.902346618597629e-05,-0.01421826824875811,-0.01015901334471802,6.838829259861321e-07
A.D. 2025-Jan-31 00:00:00.0000,-0.6464995872148908,0.7434650283982289,-3.717090980818097e-05,-0.01326619254774683,-0.01135994900941377,1.12479440862957e-07
A.D. 2025-Feb-05 00:00:00.0000,-0.710226552053371,0.6838645727443213,-3.659186374180545e-05,-0.01220875115090733,-0.01246270269095538,2.791887705194561e-07
A.D. 2025-Feb-10 00:00:00.0000,-0.7684457718601765,0.6190144470805842,-3.332209805210984e-05,-0.01106606829932091,-0.01345996486003177,1.049674731234661e-06
A.D. 2025-Feb-15 00:00:00.0000,-0.8207642278390215,0.549435968730158,-2.668631733527206e-05,-0.009849273912824235,-0.01435435009093286,1.492188200451111e-06
A.D. 2025-Feb-20 00:00:00.0000,-0.8668197727671992,0.4756459233888252,-1.959631416970897e-05,-0.008561342193362034,-0.01514354440670966,1.238830306970445e-06
A.D. 2025-Feb-25 00:00:00.0000,-0.9062659370138701,0.3981896400006611,-1.500485505448787e-05,-0.007206460877760655,-0.01581914314891103,5.763394273229574e-07
A.D. 2025-Mar-02 00:00:00.0000,-0.9387864067376834,0.3176649201907047,-1.323723418715903e-05,-0.005793352896753853,-0.01636843868580764,2.765141010804276e-07
A.D. 2025-Mar-07 00:00:00.0000,-0.9641373941190923,0.2347330851035259,-1.062757474119029e-05,-0.004342878418325655,-0.01678185265860905,8.722853011556728e-07
