datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,-0.5216858665681381,1.525234576802456,0.04475559803760917,-0.0127118349034025,-0.003338839586395265,0.0002417788175776839
A.D. 2025-Jan-06 00:00:00.0000,-0.5847676280636567,1.507204141840334,0.0459247778135124,-0.01251745999986911,-0.003871501756132507,0.0002258478848777764
A.D. 2025-Jan-11 00:00:00.0000,-0.6468269050655375,1.486538367983143,0.04701364800397702,-0.01230294814337481,-0.004392879853545957,0.0002096596172685256
A.D. 2025-Jan-16 00:00:00.0000,-0.7077646155231092,1.463295076840803,0.04802099071983174,-0.01206893978374034,-0.004902418824006298,0.0001932413739727155
A.D. 2025-Jan-21 00:00:00.0000,-0.7674848699270175,1.437534786272511,0.04894572292427031,-0.01181607142353874,-0.005399594875145512,0.0001766197868926345
A.D. 2025-Jan-26 00:00:00.0000,-0.825894949185627,1.409320558756137,0.04978689273643949,-0.01154497457947464,-0.005883913487986615,0.000159820683653764
A.D. 2025-Jan-31 00:00:00.0000,-0.8829052787349574,1.378717860551292,0.05054367585349637,-0.01125627537715206,-0.00635490738942703,0.000142869231402744
A.D. 2025-Feb-05 00:00:00.0000,-0.9384293998604448,1.345794431249669,0.05121537210029749,-0.01095059405811065,-0.006812134232331434,0.0001257899618642636
A.D. 2025-Feb-10 00:00:00.0000,-0.9923839391569574,1.310620163323241,0.05180140213912221,-0.01062854446582509,-0.007255174785212213,0.0001086066872193934
A.D. 2025-Feb-15 00:00:00.0000,-1.044688576856558,1.273266991266544,0.05230130433745607,-0.01029073410510808,-0.007683631214460827,9.13426363770701e-05
A.D. 2025-Feb-20 00:00:00.0000,-1.095266014558086,1.233808789811794,0.05271473177702288,-0.009937764087888512,-0.008097125038034808,7.402050726341518e-05
A.D. 2025-Feb-25 00:00:00.0000,-1.144041942691923,1.192321280810037,0.05304144940834103,-0.00957022884955154,-0.008495295496321331,5.666236849690039e-05
A.D. 2025-Mar-02 00:00:00.0000,-1.19094500794098,1.148881948922613,0.05328133137325804,-0.00918871639241013,-0.00887779792681955,3.928978988432299e-05
A.D. 2025-Mar-07 00:00:00.0000,-1.235906781883731,1.10356996682206,0.05343435865629716,-0.008793808888257537,-0.009244301567890086,2.192398749054692e-05
A.D. 2025-Mar-12 00:00:00.0000,-1.278861733995945,1.05646612897846,0.05350061728394047,-0.008386083559741924,-0.009594488228940982,4.585796038240504e-06
A.D. 2025-Mar-17 00:00:00.0000,-1.319747209828227,1.007652789919192,0.05348029679537643,-0.007966113552050949,-0.009928051997125133,-1.270427301511725e-05
A.D. 2025-Mar-22 00:00:00.0000,-1.358503410679199,0.9572138055295873,0.05337368851230672,-0.007534468064028994,-0.01024469812677782,-2.99260007494927e-05
A.D. 2025-Mar-27 00:00:00.0000,-1.39507337368758,0.9052344803509217,0.0531811837705715,-0.007091712392008485,-0.01054414157327728,-4.705955727571869e-05
