datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,0.21975709288462184,3.4257589371340975,0.06592511810239304,-0.008837253797667515,4.564581367003318e-05,-0.0005757669770324385,3.433433208382545
A.D. 2025-Jan-06 00:00:00.0000,0.17555207309274795,3.425673848588093,0.06304034168237796,-0.008844487312873513,-7.972975332714598e-05,-0.0005781269179028506,3.4307483049543213
A.D. 2025-Jan-11 00:00:00.0000,0.13131489489674864,3.42496116747155,0.060144016312848964,-0.008850115743669054,-0.0002053885914473146,-0.0005803864249925478,3.4280052367241316
A.D. 2025-Jan-16 00:00:00.0000,0.08705360495006065,3.4236195169377432,0.05723664614261929,-0.008854130598260932,-0.0003313148644690602,-0.0005825447058953392,3.4252043677061788
A.D. 2025-Jan-21 00:00:00.0000,0.042776292351345425,3.421647599815596,0.054318739289084386,-0.008856523390824808,-0.0004574925374419581,-0.0005846009656016153,3.422346071622376
A.D. 2025-Jan-26 00:00:00.0000,-0.0015089113925863679,3.4190441996170247,0.05139080785097359,-0.00885728564442704,-0.0005839053712034827,-0.000586554406606367,3.4194307319903396
A.D. 2025-Jan-31 00:00:00.0000,-0.045793832418904154,3.415808181571768,0.04845336792053375,-0.008856408894125199,-0.000710536916865589,-0.0005884042290284025,3.416458742212919
A.D. 2025-Feb-05 00:00:00.0000,-0.09007025457684525,3.4119384936898576,0.04550693959508825,-0.008853884690251604,-0.0008373705102733546,-0.0005901496307410821,3.413430505669255
A.D. 2025-Feb-10 00:00:00.0000,-0.13432991951268713,3.4074341678518603,0.04255204698791272,-0.008849704601884376,-0.000964389266438248,-0.0005917898075149026,3.410346435807284
A.D. 2025-Feb-15 00:00:00.0000,-0.17856452677255327,3.4022943209270085,0.039589218238367634,-0.008843860220510544,-0.001091576073948778,-0.0005933239531722693,3.4072069562376757
A.D. 2025-Feb-20 00:00:00.0000,-0.22276573392402424,3.3965181559193325,0.03661898552122574,-0.0088363431638859,-0.0012189135893614757,-0.0005947512597548046,3.404012500829128
A.D. 2025-Feb-25 00:00:00.0000,-0.26692515669754996,3.3901049631418756,0.03364188505513097,-0.008827145080096297,-0.0013463842315753637,-0.0005960709177035493,3.4007635138049883
A.D. 2025-Mar-02 00:00:00.0000,-0.311034369148682,3.3830541214190752,0.03065845711012327,-0.008816257651825277,-0.0014739701761932833,-0.0005972821160524236,3.3974604498411285
A.D. 2025-Mar-07 00:00:00.0000,-0.3550849038421702,3.375365099317361,0.027669246014162218,-0.008803672600832887,-0.0016016533498736788,-0.0005983840426353219,3.394103774165029
A.D. 2025-Mar-12 00:00:00.0000,-0.3990682520589912,3.3670374564040086,0.024674800158580316,-0.008789381692650719,-0.001729415424676663,-0.0005993758843072239,3.390693962656002
A.D. 2025-Mar-17 00:00:00.0000,-0.44297586402740435,3.3580708445342737,0.02167567200239484,-0.0087733767414982,-0.0018572378124084455,-0.0006002568271797142,3.3872315019464954
A.D. 2025-Mar-22 00:00:00.0000,-0.4867991491791516,3.348465009166791,0.018672418075405255,-0.008755649615425288,-0.001985101658968454,-0.0006010260568713111,3.383716889524401
A.D. 2025-Mar-27 00:00:00.0000,-0.5305294764319486,3.338219790707231,0.0156655989800011,-0.00873619224168674,-0.0021129878387037403,-0.0006016827587730102,3.380150633836307
A.D. 2025-Apr-01 00:00:00.0000,-0.5741581744994363,3.3273351258801482,0.012655779391603285,-0.008714996612353223,-0.002240876948775555,-0.0006022261183294604,3.3765332543916102
A.D. 2025-Apr-06 00:00:00.0000,-0.6176765322297921,3.31581104912896,0.009643528057659504,-0.00869205479016454,-0.002368749303543242,-0.0006026553213361941,3.372865281867409
A.D. 2025-Apr-11 00:00:00.0000,-0.6610757989742229,3.303647694043951,0.006629417795112497,-0.008667358914630325,-0.0024965849289709267,-0.0006029695542533428,3.3691472582141055
A.D. 2025-Apr-16 00:00:00.0000,-0.7043471849865909,3.290845294818172,0.0036140254862576104,-0.008640901208383551,-0.0026243635570627577,-0.0006031680045362748,3.365379736761611
A.D. 2025-Apr-21 00:00:00.0000,-0.7474818618554521,3.277404187731083,0.0005979320729039249,-0.00861267398379227,-0.0027520646203328066,-0.0006032498609835977,3.361563282326081
A.D. 2025-Apr-26 00:00:00.0000,-0.7904709629698079,3.2633248126597425,-0.002418277451248963,-0.008582669649834966,-0.0028796672463160516,-0.000603214314102976,3.3576984713170703
A.D. 2025-May-01 00:00:00.0000,-0.8333055840199061,3.2486077146173304,-0.0054340140501087375,-0.008550880719244952,-0.0030071502521272116,-0.0006030605564952188,3.3537858918450185
A.D. 2025-May-06 00:00:00.0000,-0.8759767835344456,3.233253545318736,-0.008448684656655228,-0.008517299815929186,-0.0031344921390745796,-0.0006027877832570967,3.3498261438289534
A.D. 2025-May-11 00:00:00.0000,-0.9184755834555748,3.217263064772928,-0.011461692186467153,-0.00848191968266692,-0.0032616710873363346,-0.0006023951924033523,3.345819839104301
A.D. 2025-May-16 00:00:00.0000,-0.960792969753091,3.20063714290177,-0.014472435553407858,-0.008444733189093508,-0.003388664950707235,-0.0006018819853083721,3.3417676015306954
A.D. 2025-May-21 00:00:00.0000,-1.0029198930792862,3.1833767611849093,-0.01748030968756957,-0.008405733339974696,-0.003515451251423955,-0.0006012473671679903,3.337670067099662
A.D. 2025-May-26 00:00:00.0000,-1.0448472694658983,3.165483014330322,-0.02048470555557798,-0.008364913283776636,-0.0036420071750777505,-0.0006004905474818985,3.3335278840420433
A.D. 2025-May-31 00:00:00.0000,-1.0865659810646655,3.14695711197006,-0.023485010183361337,-0.008322266321536785,-0.0037683095656235533,-0.0005996107405571344,3.329341712935047
A.D. 2025-Jun-05 00:00:00.0000,-1.128066876932995,3.127800380380693,-0.026480606681490753,-0.00827778591604078,-0.003894334920495017,-0.0005986071660331235,3.325112226808771
A.D. 2025-Jun-10 00:00:00.0000,-1.1693407738662935,3.1080142642278865,-0.02947087427320051,-0.00823146570131026,-0.0040200593858354845,-0.0005974790494287516,3.32084011125207
A.D. 2025-Jun-15 00:00:00.0000,-1.210378457278524,3.087600328334514,-0.03245518832519982,-0.008183299492406463,-0.004145458751855288,-0.0005962256227119362,3.3165260645175945
A.D. 2025-Jun-20 00:00:00.0000,-1.251170682132579,3.0665602594716472,-0.03543292038138969,-0.008133281295554297,-0.00427050844832628,-0.0005948461248921705,3.3121707976258823
A.D. 2025-Jun-25 00:00:00.0000,-1.291708173922085,3.044895868171704,-0.03840343819960088,-0.008081405318591429,-0.004395183540224917,-0.0005933398026365037,3.3077750344683046
A.D. 2025-Jun-30 00:00:00.0000,-1.3319816297062754,3.022609090562987,-0.041366105791471326,-0.008027665981746689,-0.004519458723535774,-0.0005917059109094204,3.3033395119087205
A.D. 2025-Jul-05 00:00:00.0000,-1.3719817191995847,2.9997019902247737,-0.04432028346558366,-0.007972057928751941,-0.004643308321227782,-0.0005899437136370713,3.2988649798836547
A.D. 2025-Jul-10 00:00:00.0000,-1.4116990859176461,2.976176760062075,-0.047265327873985685,-0.00791457603829128,-0.0047667062794160475,-0.0005880524843963051,3.294352201500827
A.D. 2025-Jul-15 00:00:00.0000,-1.4511243483813854,2.952035724199086,-0.050200592062218934,-0.007855215435791194,-0.004889626163722594,-0.0005860315071289342,3.28980195313583
A.D. 2025-Jul-20 00:00:00.0000,-1.4902481013809246,2.927281339890307,-0.053125425522982536,-0.007793971505554991,-0.005012041155849873,-0.000583880076881663,3.2852150245267717
A.D. 2025-Jul-25 00:00:00.0000,-1.5290609173010254,2.9019161994482405,-0.05603917425356172,-0.007730839903244516,-0.005133924050381466,-0.0005815975005720906,3.280592218866678
A.D. 2025-Jul-30 00:00:00.0000,-1.5675533475098142,2.875943032186483,-0.05894118081715236,-0.0076658165687117944,-0.0052552472518248745,-0.0005791830977811854,3.275934352893435
A.D. 2025-Aug-04 00:00:00.0000,-1.6057159238125458,2.849364706376962,-0.061830784408214906,-0.007598897739182886,-0.005375982771911876,-0.0005766362015726129,3.271242256977062
A.D. 2025-Aug-09 00:00:00.0000,-1.6435391599721705,2.8221842312199987,-0.06470732092199277,-0.007530079962795816,-0.005496102227172453,-0.0005739561593392798,3.2665167752040927
A.D. 2025-Aug-14 00:00:00.0000,-1.6810135532984787,2.7944047588257828,-0.06757012302833229,-0.007459360112493967,-0.005615576836798838,-0.0005711423336774341,3.2617587654588163
A.D. 2025-Aug-19 00:00:00.0000,-1.7181295863076043,2.7660295862057627,-0.07041852024994265,-0.007386735400275893,-0.005734377420816795,-0.000568194103288641,3.2569690995011533
A.D. 2025-Aug-24 00:00:00.0000,-1.7548777284536676,2.737062157272377,-0.07325183904523602,-0.007312203391801935,-0.005852474398581768,-0.0005651108639099263,3.2521486630409027
