datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,2.7181604560830177,0.9444030699929357,-0.471184181830072,-0.0036127437399195213,0.009065048123776183,0.0009549974075354879,2.915871731889521
A.D. 2025-Jan-06 00:00:00.0000,2.699691689089841,0.9895850096741855,-0.46633906287116184,-0.0037746611526148863,0.009007248356047125,0.0009830161128622705,2.912917065258153
A.D. 2025-Jan-11 00:00:00.0000,2.68041490125813,1.0344707574690666,-0.46135436834574817,-0.003935944528520472,0.008946570955334182,0.001010826229214284,2.909914370584976
A.D. 2025-Jan-16 00:00:00.0000,2.6603333763757835,1.0790459194497268,-0.4562311623324437,-0.004096548345583501,0.008883013706229287,0.0010384192911149855,2.9068644005566022
A.D. 2025-Jan-21 00:00:00.0000,2.639450627050965,1.1232960919745985,-0.45097055141695797,-0.004256426597185881,0.008816574942044087,0.0010657867612059986,2.9037679248057087
A.D. 2025-Jan-26 00:00:00.0000,2.6177703971429827,1.1672068644833438,-0.4455736850513562,-0.004415532789007477,0.008747253565448664,0.0010929200303260794,2.9006257299874822
A.D. 2025-Jan-31 00:00:00.0000,2.595296664207561,1.2107638223964916,-0.44004175591263683,-0.004573819936411318,0.008675049069709157,0.0011198104177054108,2.897438619853358
A.D. 2025-Feb-05 00:00:00.0000,2.5720336419538197,1.253952550122758,-0.4343760002600385,-0.004731240562380492,0.008599961560522866,0.00114644917128067,2.894207415321768
A.D. 2025-Feb-10 00:00:00.0000,2.547985782710121,1.296758634177028,-0.42857769829045733,-0.004887746696037423,0.00852199177844836,0.0011728274681364467,2.8909329545455607
A.D. 2025-Feb-15 00:00:00.0000,2.523157779895806,1.3391676664119734,-0.4226481744913307,-0.005043289871777094,0.008441141121927133,0.0011989364150787254,2.8876160929758092
A.D. 2025-Feb-20 00:00:00.0000,2.4975545704956574,1.3811652473662426,-0.4165887979903097,-0.005197821129046686,0.008357411670892167,0.0012247670493462713,2.8842577034216297
A.D. 2025-Feb-25 00:00:00.0000,2.47118133753378,1.4227369897321525,-0.4104009829010187,-0.005351291012804966,0.008270806210957589,0.001250310339465882,2.8808586761056976
A.D. 2025-Mar-02 00:00:00.0000,2.4440435125434155,1.4638685219457668,-0.40408618866416596,-0.005503649574695651,0.008181328258182295,0.0012755571862575878,2.877419918715093
A.D. 2025-Mar-07 00:00:00.0000,2.41614677802903,1.504545491902207,-0.3976459203832404,-0.0056548463749697886,0.008088982084399085,0.001300498423995997,2.873942356447107
A.D. 2025-Mar-12 00:00:00.0000,2.3874970699168436,1.5447535707990065,-0.39108172915399825,-0.005804830485193037,0.007993772743099361,0.001325124821734083,2.8704269320496345
A.D. 2025-Mar-17 00:00:00.0000,2.358100579989787,1.5844784571102497,-0.38439521238691116,-0.005953550491774521,0.007895706095861911,0.0013494270847958126,2.8668746058557617
A.D. 2025-Mar-22 00:00:00.0000,2.327963758302679,1.6237058806941913,-0.37758801412171616,-0.006100954500354689,0.007794788839312683,0.0013733958564441035,2.8632863558121486
A.D. 2025-Mar-27 00:00:00.0000,2.2970933155732376,1.6624216070369697,-0.3706618253331732,-0.006246990141090353,0.007691028532600736,0.0013970217197306716,2.859663177500796
A.D. 2025-Apr-01 00:00:00.0000,2.2654962255443487,1.700611441634957,-0.36361838422710513,-0.006391604574875725,0.007584433625373692,0.0014202951995344046,2.856006084153769
A.D. 2025-Apr-06 00:00:00.0000,2.2331797273127965,1.7382612345181958,-0.35645947652576065,-0.006534744500538927,0.00747501348623419,0.0014432067647949486,2.852316106660445
A.D. 2025-Apr-11 00:00:00.0000,2.2001513276194995,1.7753568849172812,-0.34918693574150744,-0.006676356163054034,0.007362778431656755,0.001465746830948235,2.848594293566843
A.D. 2025-Apr-16 00:00:00.0000,2.1664188030960583,1.811884346075927,-0.34180264343782824,-0.0068163853628091745,0.007247739755342449,0.0014879057625707087,2.8448417110665813
A.D. 2025-Apr-21 00:00:00.0000,2.131990202462237,1.8478296302113526,-0.33430852947656037,-0.0069547774659716914,0.00712990975798645,0.0015096738762390219,2.8410594429829823
A.D. 2025-Apr-26 00:00:00.0000,2.0968738486687912,1.883178813624481,-0.32670657225028393,-0.007091477415991728,0.007009301777431423,0.0015310414436119563,2.8372485907418663
A.D. 2025-May-01 00:00:00.0000,2.061078340979847,1.9179180419618094,-0.3189987988987307,-0.007226429746285842,0.006885930219177138,0.0015519986947413109,2.8334102733345365
A.D. 2025-May-06 00:00:00.0000,2.0246125569888225,1.9520335356306502,-0.31118728550805225,-0.007359578594142491,0.006759810587214327,0.0015725358216184438,2.8295456272704604
A.D. 2025-May-11 00:00:00.0000,1.9874856545616777,1.9855115953692823,-0.3032741572917524,-0.007490867715891255,0.0066309595151481625,0.0015926429819630938,2.825655806519144
A.D. 2025-May-16 00:00:00.0000,1.9497070737010789,2.0183386079733654,-0.29526158875205627,-0.007620240503377681,0.006499394797574074,0.0016123103032610138,2.821741982440683
A.D. 2025-May-21 00:00:00.0000,1.9112865383248308,2.0505010521797815,-0.2871518038204558,-0.007747640001785451,0.006365135421665856,0.0016315278870568325,2.8178053437044666
A.D. 2025-May-26 00:00:00.0000,1.872234057951746,2.0819855047088605,-0.2789470759761396,-0.007873008928847328,0.006228201598933149,0.0016502858135084202,2.8138470961955107
A.D. 2025-May-31 00:00:00.0000,1.8325599292879031,2.112778646465718,-0.2706497283409845,-0.007996289695485879,0.006088614797102427,0.0016685741462088613,2.8098684629078714
A.D. 2025-Jun-05 00:00:00.0000,1.7922747377060393,2.142867268901211,-0.2622621337497561,-0.008117424427924477,0.00594639777207262,0.0016863829372819425,2.805870683824606
A.D. 2025-Jun-10 00:00:00.0000,1.751389358610633,2.1722382805327447,-0.25378671479413595,-0.008236354991308259,0.005801574599893369,0.0017037022327568221,2.801855015783725
A.D. 2025-Jun-15 00:00:00.0000,1.7099149586810232,2.2008787136249186,-0.24522594383916627,-0.008353023014873964,0.005654170708710743,0.0017205220782272948,2.79782273232959
A.D. 2025-Jun-20 00:00:00.0000,1.6678629969847285,2.2287757310296934,-0.2365823430106759,-0.00846736991870638,0.005504212910622022,0.0017368325248007545,2.7937751235491817
A.D. 2025-Jun-25 00:00:00.0000,1.6252452259529422,2.255916633185481,-0.22785848415222765,-0.008579336942117962,0.005351729433377826,0.0017526236353416296,2.789713495892705
A.D. 2025-Jun-30 00:00:00.0000,1.5820736922099974,2.2822888652742277,-0.21905698875010254,-0.008688865173686682,0.005196749951866523,0.0017678854910136872,2.7856391719779428
A.D. 2025-Jul-05 00:00:00.0000,1.5383607372484271,2.3078800245352293,-0.21018052782481722,-0.008795895582985566,0.005039305619312479,0.0017826081981251862,2.781553490377809
A.D. 2025-Jul-10 00:00:00.0000,1.4941189979410814,2.3326778677340796,-0.20123182178765112,-0.00890036905403541,0.004879429098116263,0.0017967818952804116,2.7774578053905428
A.D. 2025-Jul-15 00:00:00.0000,1.4493614068816107,2.3566703187847637,-0.19221364026064328,-0.009002226420510155,0.004717154590261489,0.0018103967608406148,2.7733534867919687
A.D. 2025-Jul-20 00:00:00.0000,1.4041011925444853,2.3798454765225405,-0.18312880185850597,-0.009101408502722001,0.004552517867209537,0.0018234430206968502,2.7692419195692843
A.D. 2025-Jul-25 00:00:00.0000,1.358351879255586,2.402191622624847,-0.17398017393089005,-0.00919785614641075,0.004385556299199907,0.0018359109563566057,2.7651245036358127
A.D. 2025-Jul-30 00:00:00.0000,1.3121272869642941,2.4236972296770425,-0.16477067226343012,-0.009291510263359054,0.004216308883870599,0.0018477909133454947,2.761002653526177
A.D. 2025-Aug-04 00:00:00.0000,1.2654415308078988,2.444350969379369,-0.15550326073599202,-0.009382311873852101,0.004044816274109466,0.001859073309924593,2.756877798071366
A.D. 2025-Aug-09 00:00:00.0000,1.218309020459064,2.4641417208910523,-0.14618095093654482,-0.00947020215099692,0.0038711208050441403,0.0018697486461232756,2.7527513800531556
A.D. 2025-Aug-14 00:00:00.0000,1.1707444592470253,2.483058579307005,-0.13680680172908144,-0.00955512246691281,0.0036952665200749354,0.0018798075130866275,2.7486248558373823
A.D. 2025-Aug-19 00:00:00.0000,1.1227628430431391,2.5010908642620886,-0.12738391877401958,-0.009637014440800428,0.0035172991958518354,0.0018892406027356773,2.744499694985558
A.D. 2025-Aug-24 00:00:00.0000,1.074379458901382,2.518228128657421,-0.11791545399952437,-0.00971581998889293,0.003337266366093693,0.0018980387177378192,2.740377379844352
A.D. 2025-Aug-29 00:00:00.0000,1.0256098834443919,2.534460167502653,-0.10840460502221086,-0.009791481376287882,0.003155217344144765,0.001906192781783863,2.736259405112464
A.D. 2025-Sep-03 00:00:00.0000,0.9764699809856578,2.54977702686766,-0.09885461451570385,-0.009863941270654009,0.0029712032441609262,0.0019136938501671742,2.73214727738445
