datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,2.767890438605534,-1.645104628266739,0.9037681613198376,0.00391694606318266,0.005925844871550075,-0.00443612088979367,3.344306147392015
A.D. 2025-Jan-06 00:00:00.0000,2.7872004481347803,-1.6153134857856692,0.8814987991784801,0.003806857206901128,0.005990458161788051,-0.004471500314476049,3.3398748671764444
A.D. 2025-Jan-11 00:00:00.0000,2.80595700466847,-1.5852015968012656,0.8590544020608566,0.0036955647453755084,0.006054141347896911,-0.004506133398771705,3.3353010779012844
A.D. 2025-Jan-16 00:00:00.0000,2.824154088349061,-1.554773644028678,0.8364387241163844,0.003583067938890648,0.006116881487788554,-0.00454001111856365,3.3305851044683386
A.D. 2025-Jan-21 00:00:00.0000,2.841785675520832,-1.5240343758664885,0.8136555652972431,0.0034693660095418796,0.006178665248431675,-0.004573124175795233,3.3257272863777216
A.D. 2025-Jan-26 00:00:00.0000,2.8588457385640544,-1.492988608377805,0.7907087727442005,0.0033544581513514004,0.006239478895264879,-0.004605462991999733,3.320727978161775
A.D. 2025-Jan-31 00:00:00.0000,2.875328245780775,-1.4616412273248318,0.7676022422050804,0.003238343540797071,0.006299308281391592,-0.00463701770171395,3.315587549837684
A.D. 2025-Feb-05 00:00:00.0000,2.891227161334319,-1.4299971902580204,0.7443399194864542,0.003121021347778663,0.006358138836553229,-0.004667778145775431,3.310306387379307
A.D. 2025-Feb-10 00:00:00.0000,2.906536445244779,-1.398061528660914,0.7209258019391355,0.003002490747047698,0.006415955555877375,-0.004697733864503337,3.304884893208753
A.D. 2025-Feb-15 00:00:00.0000,2.9212500534428623,-1.3658393501518202,0.6973639399780623,0.002882750930128207,0.006472742988398216,-0.004726874090763348,3.2993234867082673
A.D. 2025-Feb-20 00:00:00.0000,2.935361937884634,-1.3333358407434568,0.6736584386371423,0.002761801117756953,0.006528485225346868,-0.0047551877429174005,3.2936226047529984
A.D. 2025-Feb-25 00:00:00.0000,2.9488660467298162,-1.3005562671617228,0.6498134591596342,0.0026396405728729435,0.006583165888209796,-0.004782663417659559,3.287782702265248
A.D. 2025-Mar-02 00:00:00.0000,2.9617563245864784,-1.267505979224762,0.6258332206246322,0.0025162686141873966,0.006636768116554079,-0.0048092893827397865,3.2818042527908227
A.D. 2025-Mar-07 00:00:00.0000,2.9740267128250926,-1.2341904122834844,0.6017220016102058,0.00239168463036669,0.006689274555618873,-0.004835053569577948,3.275687749098118
A.D. 2025-Mar-12 00:00:00.0000,2.985671149965105,-1.200615089724712,0.5774841418937386,0.0022658880948622923,0.006740667343673141,-0.004859943565770979,3.269433703800611
A.D. 2025-Mar-17 00:00:00.0000,2.9966835721373553,-1.1667856255381241,0.5531240441899913,0.0021388785814231465,0.006790928099140457,-0.004883946607496797,3.263042650003426
A.D. 2025-Mar-22 00:00:00.0000,3.00705791362583,-1.1327077269481518,0.5286461759273934,0.0020106557803275557,0.006840037907492531,-0.0049070495718192345,3.25651514197469
A.D. 2025-Mar-27 00:00:00.0000,3.0167881074924656,-1.098387197111982,0.5040550710630494,0.0018812195153732076,0.006887977307914001,-0.004929238968899059,3.24985175584239
A.D. 2025-Apr-01 00:00:00.0000,3.025868086288872,-1.0638299378848006,0.47935533193690993,0.0017505697616656758,0.0069347262797420615,-0.004950500934116965,3.2430530903174875
A.D. 2025-Apr-06 00:00:00.0000,3.0342917828590856,-1.0290419526533914,0.4545516311655366,0.0016187066642474328,0.006980264228685567,-0.0049708212201153385,3.2361197674440487
A.D. 2025-Apr-11 00:00:00.0000,3.042053131237662,-0.9940293492391775,0.42964871357584294,0.0014856305576112228,0.00702456997282947,-0.004990185188766561,3.229052433377183
A.D. 2025-Apr-16 00:00:00.0000,3.049146067647635,-0.9587983428717657,0.404651398179161,0.001351341986143467,0.007067621728431756,-0.005008577803076711,3.221851759189586
A.D. 2025-Apr-21 00:00:00.0000,3.055564531603122,-0.9233552592340032,0.3795645801859291,0.0012158417255452795,0.00710939709552148,-0.005025983619034663,3.2145184417075323
A.D. 2025-Apr-26 00:00:00.0000,3.061302467121579,-0.8877065375795246,0.35439323306124826,0.0010791308052806234,0.007149873043308047,-0.005042386777417804,3.2070532043771425
A.D. 2025-May-01 00:00:00.0000,3.066353824050973,-0.8518587339236966,0.3291424106214922,0.0009412105321031392,0.007189025895413625,-0.0050577709955670035,3.1994567981618123
A.D. 2025-May-06 00:00:00.0000,3.0707125595173905,-0.8158185243088174,0.3038172491720903,0.0008020825147152268,0.007226831314942393,-0.005072119559144859,3.191730002471662
A.D. 2025-May-11 00:00:00.0000,3.0743726394988973,-0.7795927081443434,0.27842296968652935,0.0006617486896150631,0.007263264289402383,-0.005085415313892874,3.1838736261259357
A.D. 2025-May-16 00:00:00.0000,3.077328040531714,-0.7431882116228394,0.2529648800265357,0.0005202113481893709,0.007298299115497837,-0.005097640657404886,3.1758885083492387
A.D. 2025-May-21 00:00:00.0000,3.0795727515551,-0.706612091212249,0.22744837720331082,0.0003774731651119274,0.007331909383812403,-0.005108777530935932,3.167775519802566
A.D. 2025-May-26 00:00:00.0000,3.081100775901622,-0.6698715372249734,0.20187894967958966,0.00023353722811000292,0.007364067963406083,-0.005118807411267677,3.1595355636500533
A.D. 2025-May-31 00:00:00.0000,3.081906133439805,-0.6329738774641304,0.17626217971218286,8.840706916313957e-05,0.00739474698635164,-0.00512771130265371,3.15116957666241
A.D. 2025-Jun-05 00:00:00.0000,3.081982862876504,-0.5959265809472214,0.1506037457345399,-5.791330279908435e-05,0.0074239178322391955,-0.0051354697288702456,3.1426785303580087
A.D. 2025-Jun-10 00:00:00.0000,3.0813250242266466,-0.5587372617072899,0.12490942477873741,-0.0002054193676314228,0.007451551112681069,-0.005142062725400294,3.134063432182581
A.D. 2025-Jun-15 00:00:00.0000,3.0799267014583753,-0.5214136826714818,0.09918509493614946,-0.00035410605806835603,0.007477616655852426,-0.005147469831781963,3.1253253267285306
A.D. 2025-Jun-20 00:00:00.0000,3.077782005321964,-0.4839637596167318,0.07343673785589697,-0.0005039677221071988,0.007502083491107144,-0.00515167008415442,3.116465296994813
A.D. 2025-Jun-25 00:00:00.0000,3.0748850763712534,-0.44639556520209206,0.047670441279997575,-0.0006549980836034486,0.007524919833712467,-0.005154642008038089,3.107484465688376
A.D. 2025-Jun-30 00:00:00.0000,3.07123008818674,-0.4087173330769918,0.021892401613946583,-0.0008071902010007906,0.00754609306975044,-0.005156363611388922,3.0983839965681343
A.D. 2025-Jul-05 00:00:00.0000,3.066811250809848,-0.3709374620644642,-0.0038910734687480526,-0.0009605364241161467,0.0075655697412389585,-0.005156812377970071,3.089165095832437
A.D. 2025-Jul-10 00:00:00.0000,3.061622814398303,-0.3330645204180988,-0.029673562389780025,-0.0011150283488982238,0.007583315531530391,-0.00515596526108807,3.079829013550983
A.D. 2025-Jul-15 00:00:00.0000,3.055659073112956,-0.29510725015117595,-0.05544852699895655,-0.0012706567700762105,0.007599295251051342,-0.005153798677744574,3.0703770451421226
A.D. 2025-Jul-20 00:00:00.0000,3.0489143692468135,-0.25707457143610607,-0.0812093098790223,-0.0014274116316136177,0.00761347282345303,-0.005150288503259028,3.060810532896438
A.D. 2025-Jul-25 00:00:00.0000,3.041383097607465,-0.2189755870719337,-0.10694913162489786,-0.001585281974880796,0.007625811272248197,-0.005145410066422153,3.051130867547506
A.D. 2025-Jul-30 00:00:00.0000,3.033059710164536,-0.18081958701726997,-0.13266108810014637,-0.0017442558844584118,0.007636272708017292,-0.005139138145245032,3.0413394898906616
A.D. 2025-Aug-04 00:00:00.0000,3.023938720974228,-0.14261605298558439,-0.15833814767381932,-0.0019043204314831896,0.007644818316274018,-0.005131446963373678,3.03143789245058
A.D. 2025-Aug-09 00:00:00.0000,3.014014711393464,-0.10437466309931885,-0.18397314844119458,-0.0020654616144465477,0.007651408346088177,-0.005122310187244516,3.021427621198411
A.D. 2025-Aug-14 00:00:00.0000,3.00328233559659,-0.06610529659877393,-0.20955879543231243,-0.0022276642973564345,0.007656002099572107,-0.0051117009240619965,3.0113102773191542
A.D. 2025-Aug-19 00:00:00.0000,2.991736326408051,-0.02781803860116628,-0.2350876578126353,-0.0023909121451727764,0.007658557922345928,-0.005099591720685748,3.001087519029891
A.D. 2025-Aug-24 00:00:00.0000,2.9793715014648896,0.01047681509534527,-0.26055216608061177,-0.0025551875564274926,0.007659033195106355,-0.00508595456352119,2.990761063449401
A.D. 2025-Aug-29 00:00:00.0000,2.966182769723366,0.04876875316851512,-0.2859446092674108,-0.0027204715929411575,0.007657384326433889,-0.005070760879514461,2.9803326885196024
A.D. 2025-Sep-03 00:00:00.0000,2.9521651383244327,0.0870470438962993,-0.31125713214461476,-0.0028867439065500895,0.007653566746983975,-0.005053981538359777,2.9698042349791494
A.D. 2025-Sep-08 00:00:00.0000,2.9373137198332273,0.12530073025588406,-0.3364817324462205,-0.0030539826627600593,0.007647534905219053,-0.005035586856035015,2.959177608389395
A.D. 2025-Sep-13 00:00:00.0000,2.921623739868141,0.16351862500557632,-0.3616102581118947,-0.0032221644612459932,0.007639242264850502,-0.005015546599789387,2.948454781212791
A.D. 2025-Sep-18 00:00:00.0000,2.905090545135441,0.20168930575855445,-0.38663440455907183,-0.003391264253121117,0.007628641304172168,-0.004993829994715509,2.93763779494366
A.D. 2025-Sep-23 00:00:00.0000,2.887709611885773,0.23980111005841925,-0.4115457119921659,-0.0035612552549040125,0.007615683517480574,-0.004970405732047057,2.926728762291079
A.D. 2025-Sep-28 00:00:00.0000,2.869476554809215,0.27784213046749545,-0.43633556275789526,-0.003732108859118212,0.007600319418791026,-0.004945241979332412,2.9157298694134424
A.D. 2025-Oct-03 00:00:00.0000,2.850387136385884,0.3158002096799169,-0.46099517875649776,-0.0039037945414662936,0.007582498548073622,-0.004918306392644326,2.9046433782040673
A.D. 2025-Oct-08 00:00:00.0000,2.830437276709332,0.3536629356726875,-0.4855156189194356,-0.004076279764529143,0.007562169480248687,-0.004889566130995682,2.8934716286269486
A.D. 2025-Oct-13 00:00:00.0000,2.8096230638002235,0.3914176369091467,-0.5098877767650684,-0.004249529877951231,0.007539279837197319,-0.004858987873141679,2.88221704110154
A.D. 2025-Oct-18 00:00:00.0000,2.7879407644279244,0.42905137761059053,-0.5341023780446985,-0.004423508015084604,0.007513776303059644,-0.004826537836959536,2.8708821189351377
A.D. 2025-Oct-23 00:00:00.0000,2.7653868354577638,0.46655095311320255,-0.5581499784923781,-0.004598174986077884,0.007485604643110808,-0.004792181801607692,2.859469450801142
A.D. 2025-Oct-28 00:00:00.0000,2.74195793574173,0.5039028853289486,-0.5820209616929013,-0.004773489167412236,0.007454709726522912,-0.004755885132677735,2.8479817132611327
A.D. 2025-Nov-02 00:00:00.0000,2.717650938570338,0.5410934183306717,-0.6057055370835049,-0.004949406387903991,0.0074210355533396825,-0.004717612810563677,2.83642167332832
A.D. 2025-Nov-07 00:00:00.0000,2.6924629447032338,0.5781085140833104,-0.6291937381059478,-0.005125879811213799,0.007384525286009868,-0.004677329462284724,2.8247921910695233
A.D. 2025-Nov-12 00:00:00.0000,2.666391295995867,0.6149338483449367,-0.6524754205268509,-0.005302859814924824,0.007345121285844831,-0.004634999397009315,2.813096222242411
A.D. 2025-Nov-17 00:00:00.0000,2.6394335896391667,0.6515548067631918,-0.6755402609454499,-0.005480293866278006,0.007302765154785681,-0.004590586645539729,2.8013368209642278
A.D. 2025-Nov-22 00:00:00.0000,2.6115876930286674,0.6879564811946719,-0.6983777555092332,-0.005658126394680875,0.007257397782885274,-0.004544055004028041,2.7895171424077443
A.D. 2025-Nov-27 00:00:00.0000,2.5828517592788485,0.7241236662768926,-0.7209772188593228,-0.005836298661138058,0.00720895940193045,-0.004495368082205337,2.777640445519588
A.D. 2025-Dec-02 00:00:00.0000,2.5532242433976498,0.7600408562846387,-0.7433277833288929,-0.006014748624786803,0.007157389645649748,-0.004444489356416905,2.7657100957555247
A.D. 2025-Dec-07 00:00:00.0000,2.52270391913509,0.7956922423047809,-0.7654183984194082,-0.006193410806759661,0.007102627616971374,-0.004391382227766332,2.7537295678266025
A.D. 2025-Dec-12 00:00:00.0000,2.4912898965187096,0.8310617097660115,-0.7872378305810033,-0.006372216151639204,0.007044611962815141,-0.004336010085680906,2.741702448449374
A.D. 2025-Dec-17 00:00:00.0000,2.4589816400871234,0.8661328363624166,-0.8087746633249099,-0.006551091886816653,0.006983280956920173,-0.0042783363772192756,2.729632439092686
A.D. 2025-Dec-22 00:00:00.0000,2.4257789878312734,0.9008888904123538,-0.8300172976974609,-0.0067299613801175,0.006918572591227081,-0.00421832468244963,2.717523358712693
A.D. 2025-Dec-27 00:00:00.0000,2.391682170851027,0.935312829696736,-0.8509539531468563,-0.0069087439961132155,0.0068504246763486905,-0.004155938796232602,2.7053791464669525
A.D. 2026-Jan-01 00:00:00.0000,2.3566918337325125,0.9693873008235295,-0.8715726688155595,-0.007087354951598768,0.006778774951676902,-0.004091142816747234,2.6932038643975167
