datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,-3.378787540003626,-0.25774887041208694,0.02665719208704064,0.0007240161489355677,-0.009035545657261246,-9.011865005739251e-05,3.3887092419640292
A.D. 2025-Jan-06 00:00:00.0000,-3.374846394444997,-0.30290066615709915,0.026204079145286302,0.0008524208064288017,-0.009024886183992326,-9.112368407715132e-05,3.3885134872714704
A.D. 2025-Jan-11 00:00:00.0000,-3.370263561405933,-0.34799486861700485,0.025745983807604175,0.0009806877838102201,-0.009012508534876751,-9.211158134242785e-05,3.3882797637749142
A.D. 2025-Jan-16 00:00:00.0000,-3.365039779650646,-0.39302288991649004,0.0252829921628955,0.0011087969347468734,-0.008998413937310212,-9.308218003400137e-05,3.3880081080661966
A.D. 2025-Jan-21 00:00:00.0000,-3.359175888689057,-0.4379761487051212,0.024815191105676766,0.0012367281070954932,-0.008982603773948569,-9.403531972426173e-05,3.3876985626962295
A.D. 2025-Jan-26 00:00:00.0000,-3.352672828808731,-0.4828460709352098,0.024342668329131928,0.001364461141750275,-0.008965079583347938,-9.49708413732459e-05,3.3873511761775292
A.D. 2025-Jan-31 00:00:00.0000,-3.3455316411125375,-0.5276240906430948,0.023865512318182115,0.00149197587150801,-0.008945843060691539,-9.588858732562913e-05,3.3869660029870845
A.D. 2025-Feb-05 00:00:00.0000,-3.3377534675619334,-0.5723016507342757,0.023383812342567926,0.0016192521199527115,-0.008924896058603153,-9.678840130868804e-05,3.386543103569562
A.D. 2025-Feb-10 00:00:00.0000,-3.329339551025771,-0.6168702037728292,0.02289765844993947,0.001746269700361877,-0.008902240588047025,-9.767012843125214e-05,3.386082544340835
A.D. 2025-Feb-15 00:00:00.0000,-3.320291235334515,-0.6613212127755407,0.022407141458949127,0.0018730084146365597,-0.008877878819313992,-9.853361518366097e-05,3.385584397691848
A.D. 2025-Feb-20 00:00:00.0000,-3.310609965339748,-0.7056461520111822,0.02191235295234198,0.001999448052257415,-0.008851813083093688,-9.93787094387434e-05,3.385048741992786
A.D. 2025-Feb-25 00:00:00.0000,-3.300297286978822,-0.7498365078053656,0.02141338527003876,0.0021255683892689187,-0.008824045871632538,-0.00010020526045383597,3.3844756615975604
A.D. 2025-Mar-02 00:00:00.0000,-3.2893548473445153,-0.7938837793513998,0.020910331502206052,0.0022513491872939587,-0.008794579839977333,-0.00010101311887385687,3.383865246848588
A.D. 2025-Mar-07 00:00:00.0000,-3.27778439475954,-0.8377794795275793,0.0204032854823085,0.0023767701925810247,-0.008763417807304094,-0.00010180213673545216,3.3832175940818736
A.D. 2025-Mar-12 00:00:00.0000,-3.265587778855721,-0.8815151357213297,0.01989234178013751,0.0025018111350862344,-0.008730562758331962,-0.00010257216747223079,3.382532805632361
A.D. 2025-Mar-17 00:00:00.0000,-3.252766950657675,-0.9250822906606345,0.019377595694811067,0.0026264517275924578,-0.008696017844821761,-0.00010332306592110501,3.3818109898395665
A.D. 2025-Mar-22 00:00:00.0000,-3.239323962670802,-0.9684725032531661,0.01885914324773902,0.002750671664867814,-0.00865978638715893,-0.00010405468832975243,3.3810522610534663
A.D. 2025-Mar-27 00:00:00.0000,-3.2252609689733718,-1.0116773494335405,0.018337081175548237,0.0028744506228658463,-0.00862187187602043,-0.00010476689236521623,3.3802567396406396
