datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,0.6697905392931178,-2.0686047879256404,-0.0187214596187795,0.01158774506407193,0.0032011320834618284,-0.0015054375097653422,2.174418457474482
A.D. 2025-Jan-06 00:00:00.0000,0.7274816634363789,-2.0518577621580687,-0.026241019262020885,0.011487386714503842,0.0034970906294019724,-0.0015022083596327417,2.177162933235909
A.D. 2025-Jan-11 00:00:00.0000,0.7846513539956543,-2.0336399532002725,-0.03374177276428203,0.011379197154359429,0.0037894064946704833,-0.0014979169778848718,2.1800247048620562
A.D. 2025-Jan-16 00:00:00.0000,0.8412608440331056,-2.013970150847123,-0.04121843879509901,0.011263333265448447,0.004077850447939871,-0.0014925754859325885,2.1830012679573003
A.D. 2025-Jan-21 00:00:00.0000,0.8972721691654942,-1.992868270955434,-0.04866579944551707,0.011139959109274898,0.0043622013378133455,-0.00148619712269863,2.186090037252703
A.D. 2025-Jan-26 00:00:00.0000,0.9526482022788605,-1.9703553144398427,-0.056078705690084316,0.011009245452416766,0.0046422463293482544,-0.0014787961940977703,2.1892883509666676
A.D. 2025-Jan-31 00:00:00.0000,1.0073526858554485,-1.946453325164899,-0.0634520825920766,0.01087136928642203,0.004917781109078667,-0.0014703880208958367,2.1925934752094265
A.D. 2025-Feb-05 00:00:00.0000,1.0613502618910626,-1.9211853468902973,-0.07078093424454611,0.010726513344451093,0.005188610058791184,-0.0014609888852263535,2.1960026084171096
A.D. 2025-Feb-10 00:00:00.0000,1.1146064993920117,-1.894575379424501,-0.07806034844117096,0.010574865616822296,0.005454546398476404,-0.0014506159760397477,2.1995128858015733
A.D. 2025-Feb-15 00:00:00.0000,1.1670879194513724,-1.866648334139494,-0.0852855010722447,0.010416618867531154,0.0057154122990356075,-0.0014392873337543484,2.203121383802587
A.D. 2025-Feb-20 00:00:00.0000,1.2187620179144156,-1.8374299889961303,-0.09245166024247244,0.0102519701537168,0.005971038965467508,-0.0014270217943710213,2.206825124529519
A.D. 2025-Feb-25 00:00:00.0000,1.2695972856526467,-1.8069469432255878,-0.09955419010852816,0.010081120349942739,0.006221266691392391,-0.0014138389333043485,2.2106210801801898
A.D. 2025-Mar-02 00:00:00.0000,1.3195632264749602,-1.775226571807847,-0.10658855443556717,0.009904273679044295,0.006465944885890402,-0.0013997590091729495,2.2145061774251866
A.D. 2025-Mar-07 00:00:00.0000,1.3686303727128735,-1.742296979882958,-0.11355031987307179,0.009721637251174286,0.006704932073736645,-0.0013848029077800593,2.2184773017465678
A.D. 2025-Mar-12 00:00:00.0000,1.4167702985246484,-1.7081869572252084,-0.12043515895153398,0.009533420612552395,0.00693809587020809,-0.0013689920865029466,2.2225313017205446
A.D. 2025-Mar-17 00:00:00.0000,1.4639556309703121,-1.6729259329042312,-0.12723885280253727,0.00933983530529422,0.007165312931716042,-0.001352348519296418,2.22666499323443
A.D. 2025-Mar-22 00:00:00.0000,1.5101600589161421,-1.6365439302506488,-0.13395729360579323,0.009141094439564349,0.007386468883583234,-0.0013348946425016195,2.230875163628847
A.D. 2025-Mar-27 00:00:00.0000,1.5553583398330721,-1.599071522237124,-0.14058648676760582,0.008937412279165282,0.007601458226336836,-0.0013166533016368282,2.2351585757569197
A.D. 2025-Apr-01 00:00:00.0000,1.5995263045586985,-1.5605397873787206,-0.14712255283608558,0.008729003841541865,0.007810184221928236,-0.0012976476993320678,2.2395119719528704
A.D. 2025-Apr-06 00:00:00.0000,1.6426408600971445,-1.5209802662493603,-0.15356172915920482,0.008516084513050332,0.008012558761317783,-0.0012779013445543266,2.243932077903212
A.D. 2025-Apr-11 00:00:00.0000,1.6846799905349603,-1.4804249187039127,-0.15990037129248325,0.008298869680212874,0.008208502214878548,-0.0012574380032550714,2.2484156064144
A.D. 2025-Apr-16 00:00:00.0000,1.7256227561545254,-1.438906081888179,-0.16613495416371304,0.008077574377553997,0.00839794326707815,-0.0012362816505567468,2.2529592610715605
