datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,-0.9070772006111575,-0.42892245650879823,0.0,0.0070695071936772245,-0.01561867354368468,0.0,1.0033760618861285
A.D. 2025-Jan-06 00:00:00.0000,-0.8684579819596435,-0.5053533376713508,0.0,0.008367857987144393,-0.01493553905147153,0.0,1.0047891631207966
A.D. 2025-Jan-11 00:00:00.0000,-0.8235090754324199,-0.5781014918290946,0.0,0.009599956284820922,-0.014146612787742938,0.0,1.006165260866516
A.D. 2025-Jan-16 00:00:00.0000,-0.7725826173953281,-0.6466539282921155,0.0,0.010757557082273609,-0.01325838336298394,0.0,1.0074945179389516
A.D. 2025-Jan-21 00:00:00.0000,-0.716070373943229,-0.7105315658655051,0.0,0.011833058675132518,-0.012277915240716862,0.0,1.0087675086611794
A.D. 2025-Jan-26 00:00:00.0000,-0.6544004521249472,-0.7692919518635531,0.0,0.012819530496401266,-0.011212784779879432,0.0,1.0099752764020369
A.D. 2025-Jan-31 00:00:00.0000,-0.588033887538746,-0.8225316639660805,0.0,0.013710734838383871,-0.010071017422239795,0.0,1.0111093863280767
A.D. 2025-Feb-05 00:00:00.0000,-0.517461137241954,-0.8698884019178627,0.0,0.01450114311605395,-0.00886102651170373,0.0,1.012161973375284
A.D. 2025-Feb-10 00:00:00.0000,-0.4431985036009698,-0.9110427781605754,0.0,0.015185947338230414,-0.007591554095343539,0.0,1.0131257854939228
A.D. 2025-Feb-15 00:00:00.0000,-0.36578451139677,-0.9457198179116679,0.0,0.01576106744137695,-0.006271613928023291,0.0,1.01399422225605
A.D. 2025-Feb-20 00:00:00.0000,-0.28577625729397604,-0.9736901800171419,0.0,0.01622315511129221,-0.004910436785796453,0.0,1.0147613689408792
A.D. 2025-Feb-25 00:00:00.0000,-0.20374574776087867,-0.9947711101656841,0.0,0.016569594673437747,-0.003517418089302741,0.0,1.0154220262289504
A.D. 2025-Mar-02 00:00:00.0000,-0.12027623876114889,-1.0088271378261906,0.0,0.016798501576035785,-0.002102067748101537,0.0,1.015971735642834
A.D. 2025-Mar-07 00:00:00.0000,-0.03595858807905358,-1.0157705276290248,0.0,0.016908718924000053,-0.0006739620606909091,0.0,1.0164068008707863
A.D. 2025-Mar-12 00:00:00.0000,0.04861237096992777,-1.0155614949242,0.0,0.016899812448605535,0.0007573025570390839,0.0,1.0167243051014339
A.D. 2025-Mar-17 00:00:00.0000,0.13284142742199445,-1.0082081939876995,0.0,0.01677206421963699,0.002182154290144162,0.0,1.0169221244832132
A.D. 2025-Mar-22 00:00:00.0000,0.21613655645159818,-0.9937664858797254,0.0,0.016526465325385303,0.0035910893992439083,0.0,1.016998937803031
A.D. 2025-Mar-27 00:00:00.0000,0.2979124442915699,-0.9723394913533961,0.0,0.01616470766284588,0.004974714781854888,0.0,1.0169542324555019
A.D. 2025-Apr-01 00:00:00.0000,0.3775939700200503,-0.9440769325348565,0.0,0.015689174897174422,0.006323789958906412,0.0,1.016788306748227
A.D. 2025-Apr-06 00:00:00.0000,0.45461964003620764,-0.9091742654095313,0.0,0.015102932567088664,0.007629268820403231,0.0,1.0165022685609766
A.D. 2025-Apr-11 00:00:00.0000,0.5284449707283142,-0.8678716035161999,0.0,0.014409717232598478,0.008882341447481859,0.0,1.016098030348366
A.D. 2025-Apr-16 00:00:00.0000,0.5985458141252618,-0.8204524317310758,0.0,0.01361392448430586,0.010074476299436252,0.0,1.0155783004477341
A.D. 2025-Apr-21 00:00:00.0000,0.6644216202346732,-0.7672421076773787,0.0,0.012720595560679334,0.011197463013874894,0.0,1.014946570627486
A.D. 2025-Apr-26 00:00:00.0000,0.725598628331943,-0.7086061471802205,0.0,0.011735402252400327,0.012243456016204175,0.0,1.0142070997872148
A.D. 2025-May-01 00:00:00.0000,0.7816329777058143,-0.6449482893592533,0.0,0.01066462971246295,0.013205019071323758,0.0,1.0133648937005293
A.D. 2025-May-06 00:00:00.0000,0.8321137263256615,-0.576708336468465,0.0,0.009515156738710078,0.014075170836061619,0.0,1.0124256806757728
A.D. 2025-May-11 00:00:00.0000,0.8766657636197851,-0.5043597635079767,0.0,0.008294433053620568,0.014847431385916538,0.0,1.0113958829997693
A.D. 2025-May-16 00:00:00.0000,0.9149526010980746,-0.42840709299810253,0.0,0.007010453076321225,0.015515869594796209,0.0,1.010282584026478
A.D. 2025-May-21 00:00:00.0000,0.9466790219815476,-0.3493830311685202,0.0,0.005671725666039834,0.01607515114264678,0.0,1.009093490776966
A.D. 2025-May-26 00:00:00.0000,0.9715935683913686,-0.26784536321636665,0.0,0.00428723931671046,0.016520586814586923,0.0,1.0078368919304257
A.D. 2025-May-31 00:00:00.0000,0.9894908420877276,-0.18437360725928686,0.0,0.0028664223013891636,0.01684818063831061,0.0,1.006521611108913
A.D. 2025-Jun-05 00:00:00.0000,1.000213592332067,-0.09956542917474878,0.0,0.0014190973046615204,0.017054677286610052,0.0,1.0051569553918283
A.D. 2025-Jun-10 00:00:00.0000,1.0036545622823443,-0.014032823683056556,0.0,-4.456985676971003e-05,0.017137608052028786,0.0,1.0037526590404053
A.D. 2025-Jun-15 00:00:00.0000,0.9997580635367492,0.0716019292111307,0.0,-0.0015141277391138123,0.01709533458467857,0.0,1.0023188224679345
A.D. 2025-Jun-20 00:00:00.0000,0.9885212471392278,0.1567105189854845,0.0,-0.0029789032049650508,0.01692708947657994,0.0,1.000865846558066
A.D. 2025-Jun-25 00:00:00.0000,0.9699950386758874,0.2406630523158596,0.0,-0.004428071851953965,0.01663301268153134,0.0,0.999404362510902
A.D. 2025-Jun-30 00:00:00.0000,0.9442847051488509,0.3228326702293729,0.0,-0.00585073484292306,0.016214182683945224,0.0,0.9979451574838566
A.D. 2025-Jul-05 00:00:00.0000,0.9115500222303875,0.4026003056109243,0.0,-0.007236001861300931,0.015672641279045406,0.0,0.9964990963900718
A.D. 2025-Jul-10 00:00:00.0000,0.8720050123787604,0.4793595462256135,0.0,-0.008573079713758234,0.01501141080603653,0.0,0.9950770403196468
A.D. 2025-Jul-15 00:00:00.0000,0.8259172272213572,0.552521562648887,0.0,-0.00985136588654501,0.014234502690755725,0.0,0.9936897621556654
A.D. 2025-Jul-20 00:00:00.0000,0.7736065516355863,0.621520054899379,0.0,-0.011060546138450015,0.013346916209625035,0.0,0.9923478600650228
A.D. 2025-Jul-25 00:00:00.0000,0.7154435121038213,0.6858161663579349,0.0,-0.012190694989832525,0.012354626486060304,0.0,0.9910616696499494
A.D. 2025-Jul-30 00:00:00.0000,0.651847078163499,0.744903308956305,0.0,-0.013232377752641905,0.011264560875947056,0.0,0.9898411756460442
