datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,3.9888765743338563,2.9562252169491616,-0.10131616078484615,-0.004586486153337494,0.0064243634057024645,7.548768888318218e-05,4.965950948512449
A.D. 2025-Jan-06 00:00:00.0000,3.9658239115770444,2.9882574335664844,-0.10093566642330752,-0.004634529150382242,0.006388461287710957,7.67092035407136e-05,4.966651769115479
A.D. 2025-Jan-11 00:00:00.0000,3.942531783353342,3.020109212616551,-0.10054907733756861,-0.00468227183446171,0.0063521888447947575,7.792556533944142e-05,4.96736616687718
A.D. 2025-Jan-16 00:00:00.0000,3.9190016987864955,3.05177870948724,-0.10015641948980539,-0.00472971118712912,0.0063155488864570725,7.91366952220199e-05,4.968094092822323
A.D. 2025-Jan-21 00:00:00.0000,3.895235182015442,3.0832640936811457,-0.09975771923604257,-0.004776844220799657,0.0062785442490136826,8.034251470758041e-05,4.968835497089984
A.D. 2025-Jan-26 00:00:00.0000,3.871233772039331,3.1145635489486234,-0.09935300332325205,-0.004823667979017342,0.006241177795184603,8.154294589938882e-05,4.969590328939264
A.D. 2025-Jan-31 00:00:00.0000,3.8469990225612256,3.1456752734187825,-0.09894229888641333,-0.004870179536715451,0.006203452413682786,8.273791149237137e-05,4.970358536755099
A.D. 2025-Feb-05 00:00:00.0000,3.82253250183052,3.176597479728418,-0.09852563344553675,-0.004916376000470468,0.006165371018799993,8.392733478050806e-05,4.971140068054155
A.D. 2025-Feb-10 00:00:00.0000,3.7978357924840993,3.2073283951488625,-0.09810303490264992,-0.0049622545087495305,0.006126936549989944,8.511113966409227e-05,4.971934869490812
A.D. 2025-Feb-15 00:00:00.0000,3.772910491386285,3.237866261710748,-0.09767453153874833,-0.005007812232151332,0.006088151971448861,8.628925065685542e-05,4.9727428868632195
A.D. 2025-Feb-20 00:00:00.0000,3.7477582094675848,3.268209336326666,-0.09724015201071065,-0.00505304637364048,0.006049020271693531,8.746159289295559e-05,4.973564065119453
A.D. 2025-Feb-25 00:00:00.0000,3.7223805715622937,3.298355890911711,-0.09679992534817938,-0.0050979541687752395,0.006009544463137011,8.862809213382918e-05,4.974398348363732
A.D. 2025-Mar-02 00:00:00.0000,3.6967792162449693,3.3283042125018922,-0.09635388095040762,-0.005142532885928698,0.005969727581662073,8.978867477490437e-05,4.975245679862736
A.D. 2025-Mar-07 00:00:00.0000,3.6709557956658183,3.358052603370418,-0.09590204858307262,-0.0051867798265032745,0.005929572686192532,9.09432678521758e-05,4.97610600205198
A.D. 2025-Mar-12 00:00:00.0000,3.6449119753850265,3.3875993811418184,-0.09544445837505683,-0.005230692325138605,0.005889082858262563,9.20917990486392e-05,4.976979256542276
A.D. 2025-Mar-17 00:00:00.0000,3.6186494342060693,3.4169428789039213,-0.09498114081519707,-0.005274267749912749,0.005848261201584128,9.323419670058548e-05,4.9778653841262805
A.D. 2025-Mar-22 00:00:00.0000,3.5921698640080284,3.446081445317654,-0.09451212674900258,-0.005317503502536739,0.005807110841612633,9.437038980375329e-05,4.978764324785086
A.D. 2025-Mar-27 00:00:00.0000,3.5654749695769548,3.475013444724671,-0.0940374473753428,-0.005360397018542432,0.005765634925110924,9.55003080193394e-05,4.979676017694914
A.D. 2025-Apr-01 00:00:00.0000,3.53856646843631,3.503737257252799,-0.09355713424310523,-0.0054029457674636796,0.005723836619711762,9.662388167986628e-05,4.980600401233868
A.D. 2025-Apr-06 00:00:00.0000,3.5114460906765164,3.5322512789192886,-0.09307121924782454,-0.0054451472530108016,0.005681719113478875,9.774104179490621e-05,4.981537412988747
A.D. 2025-Apr-11 00:00:00.0000,3.4841155787836517,3.5605539217318696,-0.0925797346282832,-0.0054869990132383525,0.005639285614466702,9.885172005666133e-05,4.982486989761938
A.D. 2025-Apr-16 00:00:00.0000,3.4565766874673245,3.5886436137876014,-0.0920827129630848,-0.005528498620706197,0.005596539350278975,9.995584884539922e-05,4.983449067578373
A.D. 2025-Apr-21 00:00:00.0000,3.428831183487757,3.6165187993695143,-0.09158018716720034,-0.005569643682633881,0.005553483567626216,0.00010105336123474352,4.984423581692545
A.D. 2025-Apr-26 00:00:00.0000,3.400880845482116,3.644177939041033,-0.09107219048848857,-0.005610431841048307,0.005510121531882298,0.00010214419099681904,4.985410466595591
A.D. 2025-May-01 00:00:00.0000,3.37272746379012,3.671619509738186,-0.09055875650419092,-0.0056508607729247266,0.005466456526640174,0.00010322827260725136,4.9864096560224365
A.D. 2025-May-06 00:00:00.0000,3.3443728402789588,3.6988420048595865,-0.09003991911740178,-0.005690928190321043,0.005422491853266878,0.00010430554125002018,4.987421082958997
A.D. 2025-May-11 00:00:00.0000,3.315818788167559,3.7258439343541907,-0.08951571255351495,-0.005730631840505457,0.005378230830457938,0.00010537593282216656,4.9884446796494455
A.D. 2025-May-16 00:00:00.0000,3.287067131850227,3.7526238248068235,-0.08898617135664683,-0.005769969506077435,0.0053336767937912895,0.00010643938393835359,4.989480377603522
A.D. 2025-May-21 00:00:00.0000,3.258119706719705,3.7791802195214754,-0.0884513303860372,-0.005808939005082059,0.005288833095280819,0.00010749583193528055,4.990528107603918
A.D. 2025-May-26 00:00:00.0000,3.2289783589896692,3.805511678602367,-0.08791122481242836,-0.005847538191117728,0.00524370310292965,0.00010854521487595026,4.991587799713699
A.D. 2025-May-31 00:00:00.0000,3.1996449455167078,3.8316167790327746,-0.08736589011442321,-0.00588576495343727,0.005198290200283267,0.00010958747155378978,4.992659383283782
A.D. 2025-Jun-05 00:00:00.0000,3.1701213336218115,3.8574941147516286,-0.08681536207482315,-0.005923617217042458,0.0051525977859826115,0.00011062254149662433,4.993742786960475
A.D. 2025-Jun-10 00:00:00.0000,3.140409400911405,3.8831422967278706,-0.08625967677694645,-0.005961092942771965,0.005106629273317248,0.00011165036497050455,4.994837938693046
A.D. 2025-Jun-15 00:00:00.0000,3.110511035097956,3.9085599530325816,-0.08569887060092785,-0.00599819012738279,0.005060388089778703,0.00011267088298338716,4.99594476574136
A.D. 2025-Jun-20 00:00:00.0000,3.0804281338201944,3.9337457289088746,-0.08513298022000018,-0.006034906803625161,0.005013877676614101,0.00011368403728866928,4.9970631946835455
A.D. 2025-Jun-25 00:00:00.0000,3.050162604462972,3.9586982868395593,-0.08456204259675856,-0.00607124104031097,0.004967101488380193,0.00011468977038857644,4.998193151423716
