datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,1.3915009805250051,-0.012512774493886651,-0.034489456152187604,0.0006604492492982621,0.015181260831834143,0.00030156142028944007,1.3919845799840096
A.D. 2025-Jan-06 00:00:00.0000,1.392897470355614,0.0633760581554271,-0.03293513786759084,-0.00010123093646564977,0.01516736746066018,0.000320006039052429,1.3947274325031203
A.D. 2025-Jan-11 00:00:00.0000,1.3904970288506895,0.13909234764674927,-0.0312910364282304,-0.0008578992275820214,0.015112348845063161,0.00033746645529732645,1.3977867496071181
A.D. 2025-Jan-16 00:00:00.0000,1.3843310043419264,0.2144321998632827,-0.029562191277033387,-0.0016070550032880183,0.015016928018490847,0.00035389629597907504,1.4011521762726677
A.D. 2025-Jan-21 00:00:00.0000,1.3744430118233357,0.28919577834483695,-0.02775385864313063,-0.0023462946780952432,0.014882002886995805,0.0003692552356924537,1.4048124670688473
A.D. 2025-Jan-26 00:00:00.0000,1.360888412470729,0.3631881457021804,-0.025871481125014643,-0.0030733255043692365,0.01470863283949348,0.0003835090558787657,1.408755562158067
A.D. 2025-Jan-31 00:00:00.0000,1.34373372901863,0.43622003518078617,-0.023920657158211057,-0.0037859774116529377,0.014498024247815235,0.00039662963250004026,1.4129686661190757
A.D. 2025-Feb-05 00:00:00.0000,1.3230560069956474,0.5081085475818266,-0.02190711071378377,-0.004482212817182554,0.014251515159928485,0.000408594856919178,1.4174383285606489
A.D. 2025-Feb-10 00:00:00.0000,1.2989421320241834,0.5786777702552991,-0.019836661547484487,-0.005160134390695549,0.013970559484370433,0.0004193884958096864,1.4221505255339624
A.D. 2025-Feb-15 00:00:00.0000,1.2714881133608322,0.6477593163405934,-0.01771519628805844,-0.005817990801500367,0.013656710950816943,0.0004289999967475804,1.427090740809233
A.D. 2025-Feb-20 00:00:00.0000,1.2407983436119248,0.7151927838076508,-0.015548640618423771,-0.006454180515694301,0.013311607112020446,0.0004374242467077341,1.4322440461547445
A.D. 2025-Feb-25 00:00:00.0000,1.2069848441313642,0.7808261351177136,-0.01334293276643221,-0.00706725374554956,0.012936953627473297,0.0004446612910057867,1.4375951798404476
A.D. 2025-Mar-02 00:00:00.0000,1.1701665050254828,0.8445159994541,-0.011103998483906634,-0.0076559126809475735,0.012534509040507033,0.0004507160203123098,1.443128622680543
A.D. 2025-Mar-07 00:00:00.0000,1.1304683279840253,0.906127900455155,-0.008837727654743397,-0.008219010154155281,0.01210607022951753,0.00045559783324328543,1.448828671026483
A.D. 2025-Mar-12 00:00:00.0000,1.0880206793596234,0.9655364132049342,-0.006549952636031888,-0.008755546904313547,0.011653458681914322,0.00045932028172997034,1.4546795062206521
A.D. 2025-Mar-17 00:00:00.0000,1.0429585600611726,1.0226252548999166,-0.004246428401191039,-0.009264667617089897,0.01117850770739234,0.0004619007059247268,1.4606652601188816
A.D. 2025-Mar-22 00:00:00.0000,0.9954208979380668,1.0772873141151016,-0.001932814521695836,-0.009745655918560981,0.010683050676206843,0.000463359864841043,1.4667700763845477
A.D. 2025-Mar-27 00:00:00.0000,0.9455498674380847,1.1294246239477421,0.00038534100545712844,-0.010197928501188289,0.010168910339097751,0.00046372156828859197,1.4729781673464712
A.D. 2025-Apr-01 00:00:00.0000,0.8934902404440533,1.1789482845326882,0.0027026161035000663,-0.010621028554465659,0.009637889258963223,0.00046301231497845077,1.4792738662956038
A.D. 2025-Apr-06 00:00:00.0000,0.8393887713518249,1.225778340513445,0.005013727176428086,-0.011014618664212833,0.009091761360741697,0.00046126094096706437,1.4856416751705712
A.D. 2025-Apr-11 00:00:00.0000,0.7833936186592244,1.269843619032771,0.007313539944962873,-0.01137847333332277,0.008532264585470559,0.000458498281903903,1.4920663076488145
A.D. 2025-Apr-16 00:00:00.0000,0.7256538046034905,1.3110815336920072,0.009597078634200978,-0.011712471263761142,0.007961094617240134,0.0004547568518666654,1.4985327277180227
A.D. 2025-Apr-21 00:00:00.0000,0.6663187137208544,1.3494378597355023,0.011859533601494643,-0.01201658752542281,0.007379899637718065,0.0004500705409247574,1.50502618385176
A.D. 2025-Apr-26 00:00:00.0000,0.6055376306107275,1.3848664854611927,0.014096267502310045,-0.012290885722654606,0.006790276051943044,0.00044447433297807,1.5115322389538326
A.D. 2025-May-01 00:00:00.0000,0.5434593166702216,1.4173291445554481,0.016302820098176584,-0.012535510254353826,0.006193765120963794,0.00043800404488152827,1.5180367962684884
A.D. 2025-May-06 00:00:00.0000,0.48023162512186246,1.4467951337133085,0.018474911814679664,-0.012750678748957535,0.005591850431360696,0.0004306960873909554,1.5245261214784924
A.D. 2025-May-11 00:00:00.0000,0.41600115328601456,1.4732410195464096,0.020608446159071647,-0.012936674741672908,0.004985956128433266,0.0004225872480541715,1.5309868612311899
A.D. 2025-May-16 00:00:00.0000,0.35091293074591956,1.4966503384108338,0.02269951110679725,-0.013093840648206968,0.004377445838551685,0.0004137144958223157,1.5374060583445226
A.D. 2025-May-21 00:00:00.0000,0.28511014181253885,1.51701329241492,0.024744379564358505,-0.013222571077205297,0.003767622206539997,0.000404114806867747,1.543771163951428
A.D. 2025-May-26 00:00:00.0000,0.21873388051308723,1.5343264445002025,0.02673950901277339,-0.013323306512710235,0.003157726975678925,0.00039382501086279975,1.550070046842784
A.D. 2025-May-31 00:00:00.0000,0.15192293619533936,1.5485924151331627,0.028681540431682594,-0.013396527388251653,0.00254894154070387,0.00038288165679349314,1.5562910002668875
A.D. 2025-Jun-05 00:00:00.0000,0.08481360775344673,1.5598195828060697,0.030567296599177278,-0.013442748565695177,0.0019423879077700686,0.0003713208972487957,1.5624227464379923
A.D. 2025-Jun-10 00:00:00.0000,0.01753954443412739,1.568021790225275,0.032393779856876984,-0.013462514224666195,0.0013391299995324328,0.00035917839003373056,1.5684544389983566
A.D. 2025-Jun-15 00:00:00.0000,-0.049768388831096674,1.5732180577673438,0.034158169423872856,-0.013456393162188477,0.0007401752480424323,0.0003464892158979606,1.574375663668137
A.D. 2025-Jun-20 00:00:00.0000,-0.11698222360689711,1.5754323055087598,0.03585781833703211,-0.013424974497050381,0.00014647642292877938,0.0003332878111451472,1.5801764373058318
A.D. 2025-Jun-25 00:00:00.0000,-0.1839769796494394,1.574693084884365,0.03749025008897403,-0.013368863769253097,-0.0004410663528384468,0.00031960791388725864,1.5858472055892718
A.D. 2025-Jun-30 00:00:00.0000,-0.25063073806026936,1.5710333208031928,0.0390531550288893,-0.013288679421610713,-0.001021603442513471,0.00030548252272742497,1.591378839513789
A.D. 2025-Jul-05 00:00:00.0000,-0.31682469777184746,1.5644900648474904,0.040544386585375985,-0.013185049648065002,-0.0015943334287320872,0.0002909438666906452,1.5967626308904876
A.D. 2025-Jul-10 00:00:00.0000,-0.3824432171557809,1.5551042600006384,0.041961957364678,-0.013058609591452991,-0.002158500774074905,0.0002760233852698706,1.6019902870137734
A.D. 2025-Jul-15 00:00:00.0000,-0.4473738424551773,1.5429205171911882,0.04330403517218979,-0.012909998872230448,-0.002713393438657186,0.0002607517175124041,1.60705392465369
A.D. 2025-Jul-20 00:00:00.0000,-0.5115073246480396,1.5279869038020433,0.0445689389998731,-0.012739859428922156,-0.00325834048045933,0.0002451586991353236,1.6119460635153784
A.D. 2025-Jul-25 00:00:00.0000,-0.5747376262515383,1.5103547441743517,0.04575513501734317,-0.01254883365075966,-0.003792709660513123,0.00022927336672635032,1.6166596192951934
A.D. 2025-Jul-30 00:00:00.0000,-0.6369619194792658,1.4900784320334528,0.04686123259983758,-0.012337562783005362,-0.004315905071776845,0.0002131239681562251,1.6211878964508586
A.D. 2025-Aug-04 00:00:00.0000,-0.6980805770667693,1.46721525467759,0.04788598042208627,-0.012106685585782382,-0.004827364807568146,0.00019673797839859746,1.6255245807915313
A.D. 2025-Aug-09 00:00:00.0000,-0.7579971569860343,1.4418252286975162,0.04882826264325429,-0.011856837227773953,-0.005326558682771124,0.00018014212002234558,1.6296637319828633
