datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,-0.717997806873647,-0.029402962344929923,0.04111095857244869,0.0007034687654617843,-0.020306545475263515,-0.00031821194732500386,0.7197746145737357
A.D. 2025-Jan-06 00:00:00.0000,-0.7073873088998734,-0.1303097553643292,0.03911834548926125,0.0035325846558302947,-0.019989627693104903,-0.00047745282932559996,0.7203524707318866
A.D. 2025-Jan-11 00:00:00.0000,-0.6828000763076644,-0.22864271156214533,0.036352810697467805,0.006284901917418687,-0.01927905784212109,-0.0006268731793311073,0.7209819419388038
A.D. 2025-Jan-16 00:00:00.0000,-0.6447569583897417,-0.32247077439740035,0.032870861052519344,0.008906125544768311,-0.018191000233686805,-0.0007635547223163389,0.7216504896684989
A.D. 2025-Jan-21 00:00:00.0000,-0.5940426805379269,-0.40996249574853527,0.028742898665193254,0.011345173675529136,-0.016749038062905893,-0.0008848663564799634,0.7223448680822276
A.D. 2025-Jan-26 00:00:00.0000,-0.5316872757354011,-0.48942157755367177,0.024051661552896352,0.01355515799800432,-0.014983530233348996,-0.0009885120473562535,0.7230513966361674
A.D. 2025-Jan-31 00:00:00.0000,-0.45894293682650644,-0.5593188895768519,0.018890447694324006,0.015494232812773578,-0.012930849598407849,-0.0010725695071016987,0.7237562355617486
A.D. 2025-Feb-05 00:00:00.0000,-0.37725697431987815,-0.618320439817573,0.013361169233013814,0.017126302574832622,-0.010632530382646908,-0.0011355194502019868,0.7244456582880867
A.D. 2025-Feb-10 00:00:00.0000,-0.28824160031260376,-0.6653109115615542,0.007572283768030331,0.01842158364292139,-0.008134351785511232,-0.0011762655475803486,0.7251063154290552
A.D. 2025-Feb-15 00:00:00.0000,-0.19364126740184684,-0.699412511608325,0.0016366483645530458,0.019357021040330002,-0.005485382807189588,-0.001194145467840001,0.725725485602599
A.D. 2025-Feb-20 00:00:00.0000,-0.09529827684494342,-0.7199989926339233,-0.004330660545847854,0.019916565083114842,-0.0027370105116866343,-0.0011889335900220914,0.7262913090380768
A.D. 2025-Feb-25 00:00:00.0000,0.004882661855815457,-0.726704815525715,-0.01021452146661778,0.02009131566518703,5.8029392697851474e-05,-0.0011608360962908051,0.726793000615618
A.D. 2025-Mar-02 00:00:00.0000,0.10497028172175582,-0.7194295031581567,-0.01590190014237037,0.01987954381265076,0.00284660428640937,-0.0011104792103654563,0.7272210396346319
A.D. 2025-Mar-07 00:00:00.0000,0.20304243166130176,-0.6983373053346618,-0.02128390752341552,0.019286600921095815,0.005576106710672427,-0.0010388913474551984,0.727567334201087
A.D. 2025-Mar-12 00:00:00.0000,0.29722103688787166,-0.6638523467034937,-0.02625775477324198,0.018324726018841823,0.008195337844316537,-0.0009474798958103378,0.7278253586391236
A.D. 2025-Mar-17 00:00:00.0000,0.38570586092455006,-0.6166494676018913,-0.030728580119983032,0.017012760645610848,0.010655345961389208,-0.0008380032721295368,0.7279902627655362
