datetime_str,x,y,z,vx,vy,vz
A.D. 2025-Jan-01 00:00:00.0000,-2.315891736250901,2.385760897332,0.04207413309327134,-0.00692383677491646,-0.006136832261164329,2.519495731228032e-06
A.D. 2025-Jan-02 00:00:00.0000,-2.322806240580538,2.379614472144467,0.0420764831979289,-0.006905163783958231,-0.006156008665768657,2.180731949367873e-06
A.D. 2025-Jan-03 00:00:00.0000,-2.32970204764631,2.373448898912462,0.04207849459427059,-0.006886442275477126,-0.006175128334385186,1.842079468454003e-06
A.D. 2025-Jan-04 00:00:00.0000,-2.336579109015564,2.367264234419087,0.04208016739470496,-0.006867672419211425,-0.006194191172843283,1.503540504745341e-06
A.D. 2025-Jan-05 00:00:00.0000,-2.343437376425381,2.361060535541437,0.04208150171385824,-0.006848854384892673,-0.006213197087329597,1.165117276285155e-06
A.D. 2025-Jan-06 00:00:00.0000,-2.350276801782576,2.354837859250239,0.04208249766857591,-0.00682998834225774,-0.006232145984395651,8.268120033994152e-07
A.D. 2025-Jan-07 00:00:00.0000,-2.357097337163709,2.348596262609482,0.04208315537792463,-0.006811074461058751,-0.006251037770965331,4.886269089868689e-07
A.D. 2025-Jan-08 00:00:00.0000,-2.363898934815098,2.342335802776044,0.0420834749631954,-0.00679211291107111,-0.006269872354342155,1.505642186724229e-07
A.D. 2025-Jan-09 00:00:00.0000,-2.370681547152856,2.336056536999303,0.04208345654790597,-0.006773103862100009,-0.00628864964221618,-1.873738391607986e-07
A.D. 2025-Jan-10 00:00:00.0000,-2.377445126762916,2.329758522620756,0.04208310025780489,-0.006754047483985683,-0.006307369542670487,-5.251850334073607e-07
A.D. 2025-Jan-11 00:00:00.0000,-2.384189626401072,2.323441817073613,0.04208240622087157,-0.006734943946607597,-0.006326031964187242,-8.628671303431375e-07
A.D. 2025-Jan-12 00:00:00.0000,-2.390914998993017,2.317106477882402,0.04208137456732199,-0.006715793419887786,-0.006344636815653316,-1.200417893765865e-06
A.D. 2025-Jan-13 00:00:00.0000,-2.397621197634389,2.310752562662562,0.04208000542960813,-0.006696596073793522,-0.006363184006365504,-1.537835085161596e-06
A.D. 2025-Jan-14 00:00:00.0000,-2.404308175590817,2.304380129120024,0.04207829894242248,-0.006677352078339346,-0.006381673446035335,-1.875116463896812e-06
A.D. 2025-Jan-15 00:00:00.0000,-2.410975886297968,2.2979892350508,0.0420762552426988,-0.006658061603588781,-0.006400105044793596,-2.212259787410007e-06
A.D. 2025-Jan-16 00:00:00.0000,-2.4176242833616,2.29157993834056,0.04207387446961412,-0.006638724819655576,-0.006418478713194515,-2.549262811421244e-06
A.D. 2025-Jan-17 00:00:00.0000,-2.424253320557606,2.285152296964208,0.04207115676459103,-0.006619341896704707,-0.00643679436221966,-2.88612329013887e-06
A.D. 2025-Jan-18 00:00:00.0000,-2.430862951832075,2.278706368985447,0.04206810227129792,-0.006599913004953163,-0.006455051903281681,-3.222838976469843e-06
A.D. 2025-Jan-19 00:00:00.0000,-2.437453131301335,2.272242212556354,0.04206471113565178,-0.006580438314670532,-0.0064732512482279,-3.559407622234141e-06
A.D. 2025-Jan-20 00:00:00.0000,-2.444023813252012,2.26575988591694,0.04206098350581659,-0.006560917996179541,-0.006491392309343627,-3.89582697836688e-06
A.D. 2025-Jan-21 00:00:00.0000,-2.450574952141082,2.259259447394706,0.04205691953220778,-0.006541352219856341,-0.006509474999355773,-4.232094795156835e-06
A.D. 2025-Jan-22 00:00:00.0000,-2.457106502595923,2.252740955404211,0.04205251936748922,-0.006521741156130821,-0.006527499231436113,-4.568208822456251e-06
A.D. 2025-Jan-23 00:00:00.0000,-2.46361841941437,2.24620446844661,0.04204778316657591,-0.00650208497548682,-0.006545464919204659,-4.904166809920903e-06
A.D. 2025-Jan-24 00:00:00.0000,-2.47011065756477,2.239650045109219,0.04204271108663302,-0.006482383848462237,-0.00656337197673326,-5.239966507254788e-06
A.D. 2025-Jan-25 00:00:00.0000,-2.476583172186031,2.233077744065052,0.04203730328707508,-0.006462637945649112,-0.006581220318549299,-5.575605664480453e-06
A.D. 2025-Jan-26 00:00:00.0000,-2.483035918587686,2.226487624072368,0.04203155992956713,-0.006442847437693545,-0.006599009859639529,-5.911082032211382e-06
A.D. 2025-Jan-27 00:00:00.0000,-2.489468852249937,2.219879743974204,0.04202548117802338,-0.006423012495295609,-0.006616740515454432,-6.246393362015177e-06
A.D. 2025-Jan-28 00:00:00.0000,-2.495881928823714,2.213254162697917,0.042019067198605,-0.00640313328920903,-0.006634412201912653,-6.581537406745445e-06
A.D. 2025-Jan-29 00:00:00.0000,-2.502275104130728,2.206610939254705,0.04201231815971993,-0.006383209990240709,-0.006652024835405972,-6.916511920962942e-06
A.D. 2025-Jan-30 00:00:00.0000,-2.508648334163521,2.199950132739141,0.04200523423202086,-0.006363242769249991,-0.006669578332804831,-7.251314661416739e-06
A.D. 2025-Jan-31 00:00:00.0000,-2.515001575085523,2.193271802328681,0.04199781558840198,-0.006343231797147596,-0.006687072611464404,-7.585943387599762e-06
A.D. 2025-Feb-01 00:00:00.0000,-2.521334783231099,2.186576007283183,0.04199006240399615,-0.006323177244894102,-0.006704507589231287,-7.920395862401282e-06
A.D. 2025-Feb-02 00:00:00.0000,-2.527647915105597,2.179862806944407,0.04198197485617205,-0.006303079283497891,-0.006721883184451112,-8.254669852860467e-06
A.D. 2025-Feb-03 00:00:00.0000,-2.533940927385397,2.173132260735517,0.04197355312452808,-0.006282938084012347,-0.006739199315976832,-8.588763131068174e-06
A.D. 2025-Feb-04 00:00:00.0000,-2.540213776917956,2.166384428160567,0.04196479739088799,-0.006262753817531956,-0.006756455903177637,-8.922673475213398e-06
A.D. 2025-Feb-05 00:00:00.0000,-2.546466420721839,2.159619368803977,0.041955707839294,-0.006242526655187608,-0.00677365286594972,-9.256398670842606e-06
A.D. 2025-Feb-06 00:00:00.0000,-2.552698815986763,2.152837142330005,0.04194628465599783,-0.006222256768139948,-0.006790790124727095,-9.589936512310915e-06
A.D. 2025-Feb-07 00:00:00.0000,-2.558910920073612,2.1460378084822,0.04193652802945247,-0.006201944327570984,-0.006807867600493795,-9.923284804503094e-06
A.D. 2025-Feb-08 00:00:00.0000,-2.565102690514462,2.139221427082845,0.04192643815029985,-0.006181589504673424,-0.00682488521479739,-1.02564413648603e-05
A.D. 2025-Feb-09 00:00:00.0000,-2.571274085012579,2.132388058032392,0.04191601521135627,-0.00616119247063715,-0.006841842889762237,-1.05894040256725e-05
A.D. 2025-Feb-10 00:00:00.0000,-2.577425061442414,2.125537761308869,0.04190525940759855,-0.006140753396631927,-0.006858740548104829,-1.09221706368439e-05
A.D. 2025-Feb-11 00:00:00.0000,-2.583555577849564,2.118670596967289,0.04189417093614246,-0.006120272453785993,-0.00687557811314827,-1.125473906899073e-05
A.D. 2025-Feb-12 00:00:00.0000,-2.589665592450727,2.111786625139031,0.04188274999622234,-0.006099749813159829,-0.00689235550883637,-1.158710721694326e-05
A.D. 2025-Feb-13 00:00:00.0000,-2.595755063633612,2.104885906031215,0.04187099678916283,-0.006079185645713952,-0.006909072659746347,-1.191927300368693e-05
A.D. 2025-Feb-14 00:00:00.0000,-2.601823949956824,2.097968499926064,0.04185891151835074,-0.006058580122269123,-0.006925729491099465,-1.22512343848318e-05
A.D. 2025-Feb-15 00:00:00.0000,-2.6078722101497,2.091034467180252,0.04184649438919802,-0.006037933413462202,-0.006942325928766786,-1.258298935300821e-05
A.D. 2025-Feb-16 00:00:00.0000,-2.613899803112097,2.08408386822426,0.04183374560910458,-0.006017245689689271,-0.006958861899268603,-1.291453594304507e-05
A.D. 2025-Feb-17 00:00:00.0000,-2.619906687914125,2.077116763561724,0.04182066538741131,-0.005996517121043848,-0.006975337329764182,-1.324587223669182e-05
A.D. 2025-Feb-18 00:00:00.0000,-2.625892823795806,2.070133213768814,0.04180725393535295,-0.005975747877248102,-0.00699175214802987,-1.357699636707913e-05
A.D. 2025-Feb-19 00:00:00.0000,-2.631858170166668,2.063133279493629,0.041793511466003,-0.0059549381275766,-0.007008106282419523,-1.390790652241789e-05
A.D. 2025-Feb-20 00:00:00.0000,-2.637802686605257,2.056117021455648,0.04177943819421855,-0.00593408804077734,-0.007024399661804929,-1.423860094829321e-05
A.D. 2025-Feb-21 00:00:00.0000,-2.64372633285857,2.049084500445256,0.04176503433658248,-0.005913197784994783,-0.007040632215490977,-1.456907794772392e-05
A.D. 2025-Feb-22 00:00:00.0000,-2.649629068841417,2.042035777323359,0.04175030011134673,-0.005892267527701649,-0.007056803873102707,-1.489933587811762e-05
A.D. 2025-Feb-23 00:00:00.0000,-2.655510854635728,2.03497091302114,0.04173523573838146,-0.005871297435648339,-0.007072914564442439,-1.52293731441676e-05
A.D. 2025-Feb-24 00:00:00.0000,-2.661371650489805,2.027889968539961,0.04171984143913342,-0.005850287674841657,-0.007088964219317765,-1.555918818566687e-05
A.D. 2025-Feb-25 00:00:00.0000,-2.667211416817595,2.02079300495145,0.04170411743659918,-0.005829238410565656,-0.007104952767346143,-1.58887794595702e-05
A.D. 2025-Feb-26 00:00:00.0000,-2.673030114197998,2.013680083397804,0.04168806395531963,-0.005808149807456653,-0.007120880137746036,-1.621814541597302e-05
A.D. 2025-Feb-27 00:00:00.0000,-2.678827703374277,2.006551265092287,0.04167168122140118,-0.005787022029643462,-0.007136746259131693,-1.654728446842139e-05
A.D. 2025-Feb-28 00:00:00.0000,-2.684604145253661,1.999406611319925,0.0416549694625687,-0.005765855240956623,-0.007152551059334009,-1.68761949600214e-05
A.D. 2025-Mar-01 00:00:00.0000,-2.690359400907166,1.992246183438362,0.04163792890825433,-0.005744649605204452,-0.007168294465272599,-1.720487512761774e-05
A.D. 2025-Mar-02 00:00:00.0000,-2.696093431569745,1.985070042878804,0.04162055978972071,-0.00572340528649995,-0.00718397640290639,-1.753332306772967e-05
A.D. 2025-Mar-03 00:00:00.0000,-2.701806198640761,1.97787825114696,0.04160286234021656,-0.005702122449613929,-0.007199596797282116,-1.786153670808243e-05
A.D. 2025-Mar-04 00:00:00.0000,-2.707497663684822,1.970670869823889,0.04158483679515539,-0.005680801260318862,-0.007215155572693791,-1.818951378908097e-05
A.D. 2025-Mar-05 00:00:00.0000,-2.713167788432935,1.963447960566624,0.04156648339230705,-0.005659441885684017,-0.007230652652945575,-1.851725185819809e-05
A.D. 2025-Mar-06 00:00:00.0000,-2.718816534783917,1.956209585108499,0.04154780237198665,-0.005638044494285095,-0.007246087961701525,-1.884474827931455e-05
